,home_score,away_score,year,week,home_spread,duration,attendance,temperature,humidity,wind_speed,wind_chill,home_games_played,home_first_quarter_points,home_second_quarter_points,home_third_quarter_points,home_fourth_quarter_points,home_overtime_points,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_quarter_points,away_second_quarter_points,away_third_quarter_points,away_fourth_quarter_points,away_overtime_points,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced,home_average_win_probability,away_average_win_probability,game_point_diff,home_victory,home_draw,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,home_win_pct,away_win_pct,home_pagerank,away_pagerank,home_elo,away_elo,home_total_points_for,home_total_points_against,home_total_first_downs,home_total_rush_attempts,home_total_rushing_yards,home_total_rushing_touchdowns,home_total_pass_completions,home_total_pass_attempts,home_total_passing_yards,home_total_passing_touchdowns,home_total_interceptions_thrown,home_total_times_sacked,home_total_sacked_yards,home_total_net_passing_yards,home_total_total_yards,home_total_fumbles,home_total_fumbles_lost,home_total_turnovers,home_total_penalties,home_total_penalty_yards,home_total_third_down_conversions,home_total_third_downs,home_total_fourth_down_conversions,home_total_fourth_downs,home_total_time_of_possession,home_total_yards_allowed,home_total_interceptions,home_total_fumbles_forced,home_total_fumbles_recovered,home_total_turnovers_forced,home_total_sacks,home_total_sack_yards_forced,home_total_game_control,away_total_points_for,away_total_points_against,away_total_first_downs,away_total_rush_attempts,away_total_rushing_yards,away_total_rushing_touchdowns,away_total_pass_completions,away_total_pass_attempts,away_total_passing_yards,away_total_passing_touchdowns,away_total_interceptions_thrown,away_total_times_sacked,away_total_sacked_yards,away_total_net_passing_yards,away_total_total_yards,away_total_fumbles,away_total_fumbles_lost,away_total_turnovers,away_total_penalties,away_total_penalty_yards,away_total_third_down_conversions,away_total_third_downs,away_total_fourth_down_conversions,away_total_fourth_downs,away_total_time_of_possession,away_total_yards_allowed,away_total_interceptions,away_total_fumbles_forced,away_total_fumbles_recovered,away_total_turnovers_forced,away_total_sacks,away_total_sack_yards_forced,away_total_game_control,home_average_points_for,home_average_points_against,home_average_first_downs,home_average_rush_attempts,home_average_rushing_yards,home_average_rushing_touchdowns,home_average_pass_completions,home_average_pass_attempts,home_average_passing_yards,home_average_passing_touchdowns,home_average_interceptions_thrown,home_average_times_sacked,home_average_sacked_yards,home_average_net_passing_yards,home_average_total_yards,home_average_fumbles,home_average_fumbles_lost,home_average_turnovers,home_average_penalties,home_average_penalty_yards,home_average_third_down_pct,home_average_fourth_down_pct,home_average_time_of_possession,home_average_yards_allowed,home_average_interceptions,home_average_fumbles_forced,home_average_fumbles_recovered,home_average_turnovers_forced,home_average_sacks,home_average_sack_yards_forced,home_total_average_win_probability,away_average_points_for,away_average_points_against,away_average_first_downs,away_average_rush_attempts,away_average_rushing_yards,away_average_rushing_touchdowns,away_average_pass_completions,away_average_pass_attempts,away_average_passing_yards,away_average_passing_touchdowns,away_average_interceptions_thrown,away_average_times_sacked,away_average_sacked_yards,away_average_net_passing_yards,away_average_total_yards,away_average_fumbles,away_average_fumbles_lost,away_average_turnovers,away_average_penalties,away_average_penalty_yards,away_average_third_down_pct,away_average_fourth_down_pct,away_average_time_of_possession,away_average_yards_allowed,away_average_interceptions,away_average_fumbles_forced,away_average_fumbles_recovered,away_average_turnovers_forced,away_average_sacks,away_average_sack_yards_forced,away_total_average_win_probability,home_average_yards_per_rush_attempt,home_average_rushing_touchdowns_per_attempt,home_average_yards_per_pass_attempt,home_average_passing_touchdowns_per_attempt,home_average_yards_per_pass_completion,home_average_rushing_play_pct,home_average_passing_play_pct,home_average_rushing_yards_pct,home_average_passing_yards_pct,home_average_completion_pct,home_average_sacked_pct,home_average_passer_rating,home_average_touchdowns,home_average_yards_per_point,home_average_scoring_margin,home_average_turnover_margin,away_average_yards_per_rush_attempt,away_average_rushing_touchdowns_per_attempt,away_average_yards_per_pass_attempt,away_average_passing_touchdowns_per_attempt,away_average_yards_per_pass_completion,away_average_rushing_play_pct,away_average_passing_play_pct,away_average_rushing_yards_pct,away_average_passing_yards_pct,away_average_completion_pct,away_average_sacked_pct,away_average_passer_rating,away_average_touchdowns,away_average_yards_per_point,away_average_scoring_margin,away_average_turnover_margin,win_pct_diff,elo_diff,average_points_for_diff,average_points_against_diff,average_first_downs_diff,average_rush_attempts_diff,average_rushing_yards_diff,average_rushing_touchdowns_diff,average_pass_completions_diff,average_pass_attempts_diff,average_passing_yards_diff,average_passing_touchdowns_diff,average_interceptions_thrown_diff,average_times_sacked_diff,average_sacked_yards_diff,average_net_passing_yards_diff,average_total_yards_diff,average_fumbles_diff,average_fumbles_lost_diff,average_turnovers_diff,average_penalties_diff,average_penalty_yards_diff,average_third_down_pct_diff,average_fourth_down_pct_diff,average_time_of_possession_diff,average_yards_allowed_diff,average_interceptions_diff,average_fumbles_forced_diff,average_fumbles_recovered_diff,average_turnovers_forced_diff,average_sacks_diff,average_sack_yards_forced_diff,average_yards_per_rush_attempt_diff,average_rushing_touchdowns_per_attempt_diff,average_yards_per_pass_attempt_diff,average_passing_touchdowns_per_attempt_diff,average_yards_per_pass_completion_diff,average_rushing_play_pct_diff,average_passing_play_pct_diff,average_rushing_yards_pct_diff,average_passing_yards_pct_diff,average_completion_pct_diff,average_sacked_pct_diff,average_passer_rating_diff,average_touchdowns_diff,average_yards_per_point_diff,average_scoring_margin_diff,average_turnover_margin_diff,pagerank_diff,total_average_win_probability_diff
count,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,3653.0,4143.0,3653.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0,4143.0
mean,23.295679459328987,20.83055756698045,2010.068790731354,10.095100168959691,-2.4269852763697806,187.96996655287748,67946.24499155201,57.0628303272734,56.20182021898354,9.000151590473202,2.468407262165288,8.398986241853729,4.846729423123341,7.180545498431089,4.778180062756457,6.352160270335506,0.13806420468259714,19.713251267197684,27.876418054549845,118.00458604875693,0.9056239440019309,20.69007965242578,33.56770456191166,238.8525223268163,1.5051894762249578,0.9176924933622979,2.195993241612358,14.170649287955587,224.68187303886072,342.68645908761766,1.4158822109582427,0.6574945691527878,1.5751870625150857,6.157132512671977,51.42746801834419,5.242095100168959,13.253680907554912,0.4651218923485397,0.9230026550808593,1828.6905623944,328.45015689114166,0.9862418537291817,1.3878831764421917,0.6584600531016171,1.6451846488052135,2.3277818006275646,15.134443639874487,8.412261646150133,3.9437605599806904,6.312092686459088,4.451122375090514,6.00362056480811,0.11634081583393677,18.780111030654115,26.688631426502536,109.9901037895245,0.739077962828868,20.607048032826455,34.0427226647357,233.59449674149167,1.3818489017620081,0.9862418537291817,2.3277818006275646,15.134443639874487,218.46005310161718,328.45015689114166,1.3876418054549844,0.6584600531016171,1.6451846488052135,6.504465363263336,54.15882210958243,5.083997103548153,13.375814627081825,0.47815592565773596,0.9997586290127927,1798.4631909244508,342.68645908761766,0.9176924933622979,1.41612358194545,0.6574945691527878,1.5751870625150857,2.195993241612358,14.170649287955587,0.5277096591704872,0.4722903408295128,2.46512189234854,0.573256094617427,0.0019309678976587015,4.325609461742698,4.053825730147237,0.01955104996379435,4.369056239440019,4.020516533912624,0.022688872797489743,0.47105320189315614,0.48241228129338104,3.126813887421775,3.21324268630888,1503.7147474672256,1506.4667478323522,188.14940864108135,183.96548394882936,163.2966449432778,228.00120685493604,947.6174269852763,6.8117306299782765,176.05865314989137,285.42239922761286,2021.435433260922,12.432778180062757,7.809075549118996,18.907313540912384,121.81004103306782,1899.6253922278543,2847.2428192131306,11.747767318368332,5.513878831764422,13.325850832729905,55.14747767318368,460.8817282162684,43.433502293024375,111.37557325609461,3.764180545498431,7.498913830557567,15256.400434467778,2824.485155684287,8.022206130823076,11.931450639633116,5.639874487086653,13.664494327781801,19.279748974173305,124.32440260680666,4.2618112437886175,188.13130581704078,182.94134685010863,163.45136374607773,229.40888245232924,955.8546946657012,6.863142650253439,175.62032343712286,284.89283128167995,2016.6727009413469,12.372194062273715,7.802558532464397,18.901279266232198,121.76683562635772,1894.9058653149891,2850.7605599806902,11.83321264783973,5.559739319333816,13.364228819695873,55.091238233164376,460.33478155925656,43.62153029205889,111.66956311851315,3.7243543326092206,7.466087376297369,15313.148925899108,2816.5039826212887,8.040067583876418,11.93651943036447,5.636253922278542,13.679217958001448,19.389331402365436,125.15496017378712,4.279616735707525,20.691267862304578,20.531419389822606,18.089204811663212,25.231747715171693,104.48662456963781,0.7436494816569772,19.610265269185508,31.798290893962914,224.79637941980295,1.3639342733488349,0.8730348944631736,2.113807094486141,13.632980554184845,211.16339886561812,315.6500234352559,1.3236389972275096,0.6210618548758284,1.4943976673444819,6.183612872414789,51.71970508087985,0.36341159920833505,0.452910901264176,1695.3700732463033,314.7558014237795,0.8813275889299623,1.3281716124085086,0.6295585654993128,1.5111136370065041,2.131782412587562,13.732403749759033,0.4699376480860534,20.826284226899414,20.362216589919598,18.16914951250219,25.36196762116761,105.16476603851856,0.7498243729698983,19.63175541021271,31.75427614314823,225.1024696395661,1.3714506444729249,0.8662051241302658,2.1065424209324006,13.582642023503936,211.5198276160622,316.68459365458074,1.3220774393422932,0.6210748517232971,1.4874786454222544,6.1690625058032245,51.60291821180878,0.3651440411953306,0.44814384048802025,1701.302207854046,313.40755971141124,0.888891000350116,1.329758154056235,0.6280484057205898,1.5172416824410488,2.1472752292401087,13.834469341836098,0.4738032176621091,3.847916566851644,0.02726778691512142,6.197912769467959,0.04007575038581081,10.06754232853357,0.414053490076052,0.5207763433779667,0.3122095515410647,0.6226202819129539,0.575258200813368,0.06351130472803983,80.88806087768981,2.1075837550058125,14.776654089266914,0.1598484724819738,0.016715969662022122,3.8570242312321636,0.02732290987362826,6.217235652200756,0.040333751514314245,10.073557501982142,0.41554612575095,0.5192837077030689,0.31332719666881576,0.6215026367852031,0.5765902660237777,0.06336137284158357,81.221604049004,2.121275017442824,14.686748709647642,0.46406763697981523,0.029763037018794618,-0.011359079400224932,-2.7520003651266167,-0.13501636459483773,0.1692027999030037,-0.07994470083897473,-0.13021990599591743,-0.6781414688807532,-0.006174891312921144,-0.021490141027207515,0.044014750814687156,-0.3060902197631477,-0.0075163711240902155,0.006829770332907783,0.0072646735537403445,0.05033853068090942,-0.35642875044405814,-1.0345702193248114,0.0015615578852162008,-1.2996847468659854e-05,0.006919021922227742,0.014550366611566484,0.1167868690710755,-0.0017324419869955666,0.004767060776155823,-5.932134607742677,1.3482417123681927,-0.007563411420153629,-0.001586541647726952,0.0015101597787227378,-0.006128045434544741,-0.015492816652546332,-0.10206559207706467,-0.009107664380519173,-5.512295850684169e-05,-0.01932288273279593,-0.0002580011285034356,-0.006015173448574091,-0.0014926356748979975,0.0014926356748980007,-0.0011176451277509593,0.0011176451277509613,-0.0013320652104096735,0.00014993188645627032,-0.3335431713141798,-0.013691262437011355,0.08990537961927433,-0.3042191644978414,-0.013047067356772486,-0.08642879888710484,-0.0038655695760557367
std,10.396262661201659,10.033635506657053,4.880844678026522,5.080437731681443,5.734207482551175,13.960365667376713,8724.279386277945,14.529220977761119,19.45442857161914,4.225383894214433,5.780940929499766,4.675915972728894,4.731712699020848,5.668897241621438,4.738276785357514,5.420582369267498,0.7569136158469816,4.962713275800407,7.890497650549627,52.060143581264285,0.9643699531778076,6.026740313855457,8.466863276886492,76.28984997911736,1.1623041131057859,1.0070889655383302,1.6796027938478746,12.14522965285041,77.85333421658703,84.062130270528,1.2282324836631646,0.8134825958547139,1.33412743001692,2.707657949729008,26.066623190456376,2.28076258851277,2.5867088391584283,0.7138537548770698,1.0253237110545619,274.2786585662533,86.5187233351358,1.0330389303380836,1.2358002483624053,0.8242054211937422,1.3563895889393351,1.7259677944032392,12.530312014943492,4.713159431551974,4.452059571742245,5.197858828114544,4.606218695568429,5.220279183078472,0.7133824136291392,5.037298859923141,8.012609788962385,51.03350646202554,0.9122461121063307,6.11092289337296,8.555799156155363,77.32529061342997,1.1052653750801928,1.0330389303380836,1.7259677944032392,12.530312014943492,78.92997455554234,86.5187233351358,1.2359736718624923,0.8242054211937422,1.3563895889393351,2.8422073779087653,27.0984911367039,2.2765557718870255,2.516860413549491,0.7261038003898717,1.059435971244981,277.7987871397476,84.062130270528,1.0070889655383302,1.2280524150541143,0.8134825958547139,1.33412743001692,1.6796027938478746,12.14522965285041,0.23678004657562188,0.23678004657562188,14.713477154441582,0.49466413484034494,0.04390563235608634,3.3427188627653788,2.887852179905229,0.13846817078259363,3.2466122078371646,2.8902029060099923,0.14892763787261498,0.265457106696958,0.262782780461479,1.9989338620120163,2.0564460222796206,84.88315086139718,82.53800843250221,119.08083158511371,107.20819835419157,95.55769923451936,133.42332237520284,582.5188090297479,5.238151419851463,102.76644509465952,162.68480246923735,1195.7872197672,8.802476341623695,5.318988759101479,12.416465528642862,81.63850713952522,1138.0441470308597,1656.7703402520629,7.5144704577038715,3.8843416538479016,8.462176210253407,31.857787306361754,268.95190283279186,25.667616097861643,62.55497940674931,3.0649103761681213,5.326104936839161,8595.942307575218,1597.3235800008463,5.739095575027978,7.717215542976561,3.9992965561665272,8.996641456014428,12.198194004532782,81.19085300696241,2.6566682893807596,116.16133589095763,107.49204404692443,94.76581207401752,135.28031001381015,592.6631057041714,5.2303159738729805,101.94164236126507,162.6270349322252,1183.393436943637,8.516069349733893,5.358073842950276,12.471644547761516,81.69139494770515,1124.060272282442,1652.134762193147,7.604157639666502,3.9293299833957156,8.566119955048368,31.887816060702008,269.14647118210047,25.862955315057658,63.35707486743612,3.0451778000402503,5.368303556069065,8680.240035097137,1597.779002134849,5.719656754555008,7.711171710434127,4.011596982234019,8.978630683398299,12.289394410637126,82.0247965057392,2.630617493925289,7.444434136302285,7.073575164799022,5.4636555092000885,7.610077158838543,36.97189662139898,0.43132864188353454,6.207632408232606,9.45604499786827,72.81692401893817,0.6467313396621015,0.46495311604258227,0.9782637596059874,6.666239739567684,70.60323076524925,94.18356665665851,0.6223790156057971,0.3586362091511629,0.6766056531456128,2.0944177363180554,18.252055840418176,0.11432647653671989,0.26533609918307993,463.35565619071156,92.09502095787569,0.4777344538334242,0.601155748442073,0.35714624882047596,0.6787294693049549,0.8824891268169253,6.158532004550695,0.16572748462990125,7.430490549726421,7.072028015858536,5.464332292654083,7.643707725215464,36.789813635031244,0.4364009594084175,6.217224345398042,9.433113190342866,72.98230153915303,0.6518432040854009,0.46352618310314037,0.976605175543421,6.626887368343166,70.78258184099124,94.40687992319745,0.6191366550029388,0.3568802184448844,0.6730064949213492,2.0871870678543796,18.29064823223492,0.1151810437919681,0.2646890698769033,465.00183666417456,92.09040548733144,0.48001880677066433,0.6034624799204632,0.36085668352037165,0.6839624834083087,0.8833012479199166,6.150896935962903,0.16573117595229506,1.163264759071956,0.014943514950776539,1.8676317300133412,0.018312603110318106,2.8949011256289956,0.12331438936996589,0.14887331502128273,0.11011608446100313,0.1798887296381978,0.15973785852816147,0.03146327253970611,17.47963694068265,0.8618304915829087,4.8513714940531125,7.071326501100127,0.8101210786942533,1.1598491059032292,0.014929459673355084,1.8751721144043485,0.018371311171403098,2.8934501295114297,0.12366511790312149,0.14851023225510487,0.10954396722330882,0.1791328399277749,0.15987429114503554,0.031373612089744665,17.51718510263734,0.8642521362929957,4.759043731953011,7.0165596575824125,0.8066121333368567,0.3155098632767847,112.88356037933187,6.7275478081167215,6.108859515568479,3.520628725470042,5.1074070432833425,34.46414266635324,0.5284517169111136,4.5547908356310325,5.829647083232164,56.722891117034756,0.7366886238588408,0.5484952339328772,1.1159036254624057,7.723105428688174,58.5210799328225,58.81087884443473,0.7073744052720009,0.4329064910124215,0.7215655943097246,1.7161628162258116,15.872400511853337,0.08806466740318805,0.32686945194840605,166.54184004987852,52.777306172922806,0.5686741671824377,0.6671581206863422,0.4291178317235401,0.7294457341603574,0.9148558478387936,6.632475329534347,0.779546405245732,0.017844911093419333,1.2310500964819648,0.0205299566359265,1.5476356665473001,0.07770919977031909,0.07770919977031909,0.10088385976244378,0.10088385976244378,0.06518043090760331,0.03723062368592446,18.145849054255326,0.8864906525104402,3.6370471849949726,9.447942939731169,1.1052065196104774,2.823070588331291,0.14826693637197966
min,0.0,0.0,2002.0,1.0,-24.0,123.0,23217.0,-6.0,0.0,1.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,-3.0,0.0,4.0,7.0,20.0,0.0,0.0,0.0,0.0,-17.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,885.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,-18.0,0.0,1.0,6.0,-7.0,0.0,0.0,0.0,0.0,-34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,944.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037195164473,0.05995717553163873,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687499999999994,0.4687499999999991,1231.624266975801,1224.7424069737335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.871794871794872,0.0,0.0,-27.333333333333336,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.41503267973856,0.0,0.0,-31.5,-3.5,-1.0,-358.44077155518113,-27.333333333333336,-27.5,-14.666666666666664,-21.5,-140.5,-2.142857142857143,-17.0,-21.0,-234.0,-3.0,-2.0,-4.666666666666667,-32.333333333333336,-233.5,-231.0,-3.0,-1.75,-3.0,-7.5,-65.0,-0.3366013071895425,-1.0,-694.0,-216.3333333333333,-2.25,-2.833333333333333,-1.75,-3.0,-3.666666666666667,-27.0,-2.9281802534814583,-0.07311732659072544,-4.928571428571429,-0.08082051282051282,-5.928792569659443,-0.2754853376510803,-0.28529878371232154,-0.38922861313302265,-0.3533505810405816,-0.2589861751152074,-0.15062388591800355,-69.64285714285715,-3.5,-15.49363425925926,-32.36666666666667,-4.25,-11.661226239896296,-0.5696816214121507
25%,16.0,14.0,2006.0,6.0,-6.5,179.0,63687.5,50.0,48.15706806282722,7.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,16.0,22.0,81.0,0.0,16.0,28.0,185.0,1.0,0.0,1.0,5.0,170.0,285.0,0.5,0.0,1.0,4.0,33.0,4.0,11.0,0.0,0.0,1645.5,269.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,15.0,21.0,73.0,0.0,16.0,28.0,179.0,1.0,0.0,1.0,6.0,162.0,269.0,0.0,0.0,1.0,4.0,35.0,3.0,12.0,0.0,0.0,1604.5,285.0,0.0,1.0,0.0,1.0,1.0,5.0,0.3200990690212083,0.26144211623150004,-7.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.3,0.3333333333333333,1.595796166917923,1.6716232094279815,1444.6872614941285,1450.8240752136476,96.0,98.0,88.0,122.0,491.0,3.0,95.5,155.0,1084.5,6.0,4.0,9.0,59.0,1014.0,1536.5,6.0,3.0,7.0,30.0,252.0,23.0,61.0,1.0,3.0,8404.0,1553.0,4.0,6.0,3.0,7.0,10.0,61.0,2.1976241473759757,97.0,95.0,88.0,122.0,494.5,3.0,96.0,156.0,1075.0,6.0,4.0,9.0,58.0,1008.5,1531.5,6.0,2.0,6.5,30.0,249.0,24.0,61.0,1.0,3.0,8317.0,1522.0,4.0,6.0,3.0,7.0,10.0,61.0,2.2283236444750836,17.75,18.125,17.08712121212121,23.78174603174603,90.38181818181818,0.4666666666666667,18.0,30.16666666666667,203.30357142857144,1.0,0.6,1.5555555555555556,9.683333333333334,188.1602564102564,301.3333333333333,1.0,0.4,1.125,5.566964285714286,45.14285714285714,0.3377483443708609,0.3076923076923077,1712.4166666666665,303.5,0.6,1.0,0.4,1.125,1.7272727272727273,10.54195804195804,0.4039988188715188,17.933333333333334,17.878676470588236,17.333333333333332,24.0,91.45454545454544,0.48529411764705876,18.0,30.095454545454544,203.3818181818182,1.0,0.6,1.5384615384615383,9.710084033613445,188.59935897435895,304.1547619047619,1.0,0.4,1.125,5.5555555555555545,45.25,0.34108527131782945,0.3333333333333333,1719.845238095238,300.79166666666663,0.6,1.0,0.4,1.1428571428571428,1.7142857142857142,10.571428571428571,0.40842454341441503,3.6617262423714037,0.0176574516732488,5.897410975186965,0.03045685279187817,9.840746996996996,0.39142857142857146,0.506018749954719,0.27030875002449695,0.6013757850531128,0.5743714644877436,0.04449944994499451,72.49673089496557,1.6666666666666663,13.609882305194802,-4.333333333333337,-0.5,3.6635564250854595,0.017764628533859305,5.894960489041299,0.030331780806164114,9.849725152280492,0.39351410525279984,0.503315115461259,0.2718926427752861,0.6009768122956842,0.5757575757575758,0.0449344725083662,72.68117507797528,1.6923076923076923,13.558963414634146,-4.125,-0.4545454545454546,-0.2,-76.18211326820563,-4.428571428571427,-3.583333333333334,-2.300735294117647,-3.357142857142856,-21.888888888888893,-0.3333333333333333,-3.0,-3.625,-36.07500000000002,-0.45804195804195813,-0.3333333333333333,-0.6666666666666667,-4.500000000000001,-37.77678571428572,-38.0,-0.423844537815126,-0.25,-0.4444444444444445,-1.0,-8.555555555555554,-0.05429029456276854,-0.16666666666666669,-108.39743589743603,-30.0,-0.33333333333333337,-0.375,-0.25,-0.4444444444444444,-0.5571895424836601,-4.0,-0.4742358507405764,-0.011098837698045927,-0.783298478580805,-0.012431168086506999,-0.9473988180251514,-0.05036995397042368,-0.04635118241686853,-0.06347587781112213,-0.06143806269351537,-0.042358609925150226,-0.02211062608848305,-11.240673850572641,-0.5714285714285714,-1.9788174702968384,-6.086309523809524,-0.6666666666666666,-1.5710253749052612,-0.09629233490894434
