home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Saints,Vikings,14,9,9/9/2010,2010,1,-5,0,18,25,79,1,27,36,237,1,0,1,8,229,308,1,0,0,3,20,3,11,0,0,2023,253,1,1,0,1,1,9,0,12,23,91,0,15,27,171,1,1,1,9,162,253,1,0,1,6,60,5,13,0,0,1577,308,0,1,0,0,1,8
Bears,Lions,19,14,9/12/2010,2010,1,-6.5,0,23,31,101,0,23,35,372,2,1,4,10,362,463,4,3,4,9,100,6,14,0,1,2082,168,1,3,2,3,2,23,0,13,21,20,2,20,34,171,0,1,2,23,148,168,3,2,3,7,40,4,14,0,1,1518,463,1,4,3,4,4,10
Giants,Panthers,31,18,9/12/2010,2010,1,-6,0,21,36,118,1,20,30,263,3,3,1,5,258,376,1,1,4,9,95,5,14,1,1,2079,237,3,3,2,5,4,34,0,14,24,89,0,14,35,182,1,3,4,34,148,237,3,2,5,7,63,8,17,0,1,1521,376,3,1,1,4,1,5
Seahawks,49ers,31,6,9/12/2010,2010,1,3,0,14,23,77,1,18,23,170,2,1,1,5,165,242,0,0,1,5,35,5,11,0,0,1635,263,2,1,0,2,2,11,0,14,19,49,0,26,45,225,0,2,2,11,214,263,1,0,2,8,60,1,15,2,3,1965,242,1,0,0,1,1,5
Buccaneers,Browns,17,14,9/12/2010,2010,1,-2.5,0,13,30,119,0,17,28,182,2,1,3,13,169,288,1,1,2,6,55,7,17,0,1,1941,340,2,3,1,3,0,0,0,15,23,104,1,21,38,236,1,2,0,0,236,340,3,1,3,5,47,5,13,0,1,1659,288,1,1,1,2,3,13
Steelers,Falcons,15,9,9/12/2010,2010,1,-3,0,14,31,143,1,18,26,236,0,1,3,25,211,354,0,0,1,4,25,4,14,0,0,1926,295,1,0,0,1,2,15,0,18,25,58,0,27,44,252,0,1,2,15,237,295,0,0,1,3,24,6,16,0,0,1829,354,1,0,0,1,3,25
Bills,Dolphins,10,15,9/12/2010,2010,1,3,0,9,17,50,0,18,34,139,1,0,3,23,116,166,1,0,0,5,35,3,14,1,3,1387,296,0,0,0,0,3,18,0,19,36,132,1,21,34,182,0,0,3,18,164,296,0,0,0,3,15,8,18,0,0,2213,166,0,1,0,0,3,23
Rams,Cardinals,13,17,9/12/2010,2010,1,3,0,20,24,85,0,32,55,253,1,3,2,13,240,325,2,1,4,5,40,8,20,2,3,1971,378,0,7,4,4,2,31,0,21,21,112,1,22,41,297,1,0,2,31,266,378,7,4,4,10,72,5,13,0,0,1629,325,3,2,1,4,2,13
Jaguars,Broncos,24,17,9/12/2010,2010,1,-3,0,18,34,134,0,16,21,170,3,0,1,5,165,299,0,0,0,5,47,3,10,1,2,1770,363,1,1,1,2,3,21,0,21,25,89,1,21,33,295,1,1,3,21,274,363,1,1,2,7,70,3,10,1,2,1830,299,0,0,0,0,1,5
Titans,Raiders,38,13,9/12/2010,2010,1,-6,0,17,39,205,3,13,17,154,2,0,2,14,140,345,2,1,1,8,81,8,15,0,0,1864,286,1,4,1,2,4,30,0,21,26,136,0,22,37,180,1,1,4,30,150,286,4,1,2,10,77,3,14,0,2,1736,345,0,2,1,1,2,14
Eagles,Packers,20,27,9/12/2010,2010,1,3,0,16,20,149,1,21,34,199,1,0,6,28,171,320,3,1,1,10,80,5,13,0,1,1685,299,2,0,0,2,3,21,0,22,33,132,1,19,31,188,2,2,3,21,167,299,0,0,2,2,15,6,14,0,0,1915,320,0,3,1,1,6,28
Redskins,Cowboys,13,7,9/12/2010,2010,1,3,0,17,23,89,0,15,32,171,0,0,1,10,161,250,2,0,0,5,42,3,13,0,1,1557,380,0,1,1,1,1,5,0,24,22,103,0,31,48,282,1,0,1,5,277,380,1,1,1,12,81,5,13,1,1,2043,250,0,2,0,0,1,10
Texans,Colts,34,24,9/12/2010,2010,1,1.5,0,23,42,257,3,9,17,107,1,1,2,9,98,355,0,0,1,7,50,6,11,1,1,1853,463,0,1,1,1,2,14,0,25,10,44,0,40,57,433,3,0,2,14,419,463,1,1,1,5,73,4,12,1,1,1747,355,1,0,0,1,2,9
Patriots,Bengals,38,24,9/12/2010,2010,1,-5.5,0,20,23,118,0,25,35,258,3,0,0,0,258,376,0,0,0,6,30,9,13,0,1,1690,428,1,2,1,2,1,4,0,26,25,87,1,34,50,345,2,1,1,4,341,428,2,1,2,2,5,8,15,3,3,1910,376,0,0,0,0,0,0
Chiefs,Chargers,21,14,9/13/2010,2010,1,5,0,9,26,135,1,10,22,68,1,0,1,6,62,197,1,0,0,3,35,1,11,0,1,1352,389,0,3,1,1,2,18,0,18,29,109,0,22,39,298,2,0,2,18,280,389,3,1,1,5,30,4,15,1,3,2248,197,0,1,0,0,1,6
Jets,Ravens,9,10,9/13/2010,2010,1,-2,0,6,21,116,0,10,21,74,0,0,2,14,60,176,3,1,1,14,125,1,11,0,1,1288,282,1,2,2,3,2,15,0,20,35,49,1,20,38,248,0,1,2,15,233,282,2,2,3,5,38,11,19,0,0,2312,176,0,3,1,1,2,14
Titans,Steelers,11,19,9/19/2010,2010,2,-6,1,14,22,46,0,24,35,215,1,3,4,23,192,238,7,4,7,11,72,4,14,1,1,1580,127,0,4,1,1,4,22,1,7,33,106,0,9,17,43,0,0,4,22,21,127,4,1,1,5,35,2,15,0,0,2020,238,3,7,4,7,4,23
Falcons,Cardinals,41,7,9/19/2010,2010,2,-6.5,1,33,45,221,2,21,32,225,3,0,1,2,223,444,1,1,1,6,75,11,17,1,2,2353,267,3,1,0,3,2,15,1,11,13,118,1,18,33,164,0,3,2,15,149,267,1,0,3,10,109,0,8,0,1,1247,444,0,1,1,1,1,2
Vikings,Dolphins,10,14,9/19/2010,2010,2,-5.5,1,22,33,156,1,22,36,225,0,3,3,17,208,364,2,1,4,7,44,5,14,1,4,2148,226,0,2,2,2,2,8,1,12,29,120,0,9,15,114,1,0,2,8,106,226,2,2,2,2,15,5,11,0,0,1452,364,3,2,1,4,3,17
Colts,Giants,38,14,9/19/2010,2010,2,-5,1,24,43,160,1,20,26,255,3,0,1,5,250,410,3,1,1,6,55,4,11,0,0,2106,257,1,3,2,3,4,24,1,13,25,120,0,13,24,161,2,1,4,24,137,257,3,2,3,3,25,3,11,0,1,1494,410,0,3,1,1,1,5
Bengals,Ravens,15,10,9/19/2010,2010,2,2.5,1,14,31,94,0,16,35,167,0,0,1,8,159,253,1,0,0,9,56,3,18,0,0,2056,259,4,1,0,4,1,4,1,14,23,109,0,17,39,154,1,4,1,4,150,259,1,0,4,5,45,4,15,0,1,1544,253,0,1,0,0,1,8
Packers,Bills,34,7,9/19/2010,2010,2,-12.5,1,18,27,91,2,19,29,255,2,0,0,0,255,346,2,0,0,6,49,7,12,0,0,1856,186,2,0,0,2,4,40,1,14,32,124,1,11,18,102,0,2,4,40,62,186,0,0,2,4,35,4,12,0,2,1744,346,0,2,0,0,0,0
