home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Steelers,Dolphins,28,17,9/7/2006,2006,1,-1,0,20,38,146,0,15,25,209,3,0,3,13,196,342,1,1,1,1,10,7,15,1,1,2127,278,2,1,0,2,3,22,0,15,18,38,2,18,37,262,0,2,3,22,240,278,1,0,2,6,63,5,13,0,1,1473,342,0,1,1,1,3,13
Patriots,Bills,19,17,9/10/2006,2006,1,-9,0,19,41,183,0,11,23,163,2,1,3,27,136,319,2,1,2,1,5,5,13,2,2,1975,240,0,3,0,0,3,23,0,12,24,99,1,15,23,164,0,0,3,23,141,240,3,0,0,7,53,3,11,0,1,1625,319,1,2,1,2,3,27
Chiefs,Bengals,10,23,9/10/2006,2006,1,-2,0,18,25,113,0,23,35,230,1,1,7,54,176,289,4,2,3,5,40,5,15,3,4,1917,236,0,2,1,1,1,7,0,12,34,116,2,13,19,127,0,0,1,7,120,236,2,1,1,5,40,4,13,0,0,1683,289,1,4,2,3,7,54
Jaguars,Cowboys,24,17,9/10/2006,2006,1,-1,0,22,32,78,2,23,34,237,1,1,1,8,229,307,1,0,1,2,41,5,13,0,0,2052,323,3,0,0,3,2,11,0,14,22,88,1,16,33,246,1,3,2,11,235,323,0,0,3,9,93,6,15,1,1,1548,307,1,1,0,1,1,8
Buccaneers,Ravens,0,27,9/10/2006,2006,1,-3,0,8,13,26,0,18,34,137,0,3,3,21,116,142,0,0,3,3,21,3,12,0,1,1451,271,0,4,0,0,1,13,0,16,34,103,1,17,27,181,1,0,1,13,168,271,4,0,0,4,25,5,14,0,0,2149,142,3,0,0,3,3,21
Rams,Broncos,18,10,9/10/2006,2006,1,3,0,16,28,125,0,18,34,217,0,0,3,22,195,320,0,0,0,10,94,3,15,0,0,1969,259,3,2,2,5,4,40,0,17,25,161,1,13,26,138,0,3,4,40,98,259,2,2,5,4,30,5,12,1,1,1631,320,0,0,0,0,3,22
Lions,Seahawks,6,9,9/10/2006,2006,1,6,0,15,17,38,0,21,37,229,0,0,3,16,213,251,3,1,1,7,61,5,14,0,0,1655,264,0,2,1,1,5,37,0,17,26,91,0,25,30,210,0,0,5,37,173,264,2,1,1,8,55,2,11,0,0,1945,251,0,3,1,1,3,16
Browns,Saints,14,19,9/10/2006,2006,1,-3,0,15,22,85,1,16,27,132,1,2,5,31,101,186,1,1,3,4,35,5,12,0,0,1634,326,1,1,1,2,0,0,0,17,41,156,0,16,30,170,1,1,0,0,170,326,1,1,2,6,44,9,18,0,1,1966,186,2,1,1,3,5,31
Packers,Bears,0,26,9/10/2006,2006,1,3,0,14,23,103,0,16,30,186,0,2,3,22,164,267,1,1,3,5,45,1,11,2,3,1555,361,1,0,0,1,1,6,0,18,36,109,0,19,27,258,1,1,1,6,252,361,0,0,1,4,25,4,14,1,1,2045,267,2,1,1,3,3,22
Cardinals,49ers,34,27,9/10/2006,2006,1,-8,0,23,29,84,1,23,37,301,3,0,3,18,283,367,3,1,1,11,85,7,14,0,0,2102,393,0,2,2,2,1,2,0,19,18,107,2,23,40,288,1,0,1,2,286,393,2,2,2,8,62,1,9,1,1,1498,367,0,3,1,1,3,18
