home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Packers,Saints,42,34,9/8/2011,2011,1,-4,0,27,27,103,2,27,35,312,3,0,2,16,296,399,0,0,0,6,48,8,12,0,0,1974,477,0,2,1,1,3,23,0,27,21,81,0,32,49,419,3,0,3,23,396,477,2,1,1,3,15,9,14,0,1,1626,399,0,0,0,0,2,16
Chargers,Vikings,24,17,9/11/2011,2011,1,-9,0,31,27,77,1,33,48,335,2,2,2,5,330,407,1,0,2,4,26,6,13,0,1,2237,187,1,0,0,1,2,11,0,10,26,159,0,7,15,39,1,1,2,11,28,187,0,0,1,9,78,4,11,0,0,1363,407,2,1,0,2,2,5
Jaguars,Titans,16,14,9/11/2011,2011,1,1,0,20,47,163,1,17,24,175,0,0,2,15,160,323,2,1,1,5,39,9,18,0,0,2378,292,1,1,0,1,2,14,0,13,13,43,0,21,34,263,2,1,2,14,249,292,1,0,1,7,60,4,11,0,0,1222,323,0,2,1,1,2,15
Texans,Colts,34,7,9/11/2011,2011,1,-8.5,0,26,41,167,2,17,24,220,1,2,1,3,217,384,1,1,3,4,30,5,11,0,0,2204,236,0,3,2,2,3,25,0,15,16,64,0,16,31,197,1,0,3,25,172,236,3,2,2,6,60,1,9,0,1,1396,384,2,1,1,3,1,3
Redskins,Giants,28,14,9/11/2011,2011,1,2.5,0,21,26,74,1,21,34,305,2,0,4,47,258,332,1,1,1,3,25,5,15,1,1,1956,315,1,1,0,1,4,28,0,15,20,75,2,18,32,268,0,1,4,28,240,315,1,0,1,8,63,1,10,0,1,1644,332,0,1,1,1,4,47
Browns,Bengals,17,27,9/11/2011,2011,1,-6.5,0,17,26,83,0,19,40,213,2,1,2,11,202,285,1,0,1,11,72,4,15,1,2,1777,294,0,2,0,0,4,18,0,17,33,139,1,15,27,173,2,0,4,18,155,294,2,0,0,3,22,7,17,0,0,1823,285,1,1,0,1,2,11
49ers,Seahawks,33,17,9/11/2011,2011,1,-6,0,12,32,85,1,15,20,124,0,0,0,0,124,209,1,0,0,9,102,1,12,0,0,1867,219,1,3,2,3,5,42,0,18,22,64,0,21,37,197,2,1,5,42,155,219,3,2,3,11,72,5,15,1,1,1733,209,0,1,0,0,0,0
Ravens,Steelers,35,7,9/11/2011,2011,1,-1.5,0,17,31,170,1,17,29,224,3,0,1,9,215,385,0,0,0,7,75,7,16,0,1,1951,312,3,4,4,7,4,34,0,20,16,66,0,22,41,280,1,3,4,34,246,312,4,4,7,6,53,3,9,0,1,1649,385,0,0,0,0,1,9
Jets,Cowboys,27,24,9/11/2011,2011,1,-6,0,19,16,45,0,26,44,335,2,1,4,20,315,360,3,1,2,0,0,6,14,0,0,1567,390,1,3,2,3,4,16,0,21,26,64,1,23,36,342,2,1,4,16,326,390,3,2,3,7,40,4,12,0,0,2033,360,1,3,1,2,4,20
Chiefs,Bills,7,41,9/11/2011,2011,1,-4,0,13,18,108,0,22,36,119,1,1,2,14,105,213,2,2,3,1,3,3,13,0,0,1378,364,1,1,0,1,1,7,0,23,39,163,1,17,26,208,4,1,1,7,201,364,1,0,1,5,30,7,14,0,0,2222,213,1,2,2,3,2,14
