Best parameters set found on development set:
0.66620 (+/-0.017) for {'max_features': 6, 'min_samples_leaf': 24, 'n_estimators': 500, 'random_state': 42}
0.66620 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66620 (+/-0.017) for {'max_features': 7, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66620 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.023) for {'max_depth': 3, 'max_features': 9, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.017) for {'max_depth': 3, 'max_features': 10, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.026) for {'max_features': 4, 'min_samples_leaf': 11, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.025) for {'max_features': 4, 'min_samples_leaf': 12, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 15, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 51, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.026) for {'max_features': 5, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.017) for {'max_features': 6, 'min_samples_leaf': 48, 'n_estimators': 500, 'random_state': 42}
0.66596 (+/-0.019) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66596 (+/-0.016) for {'max_features': 7, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
