home_team,away_team,home_score,away_score,week,home_spread,home_pass_completions,home_pass_attempts,home_passing_touchdowns,home_interceptions_thrown,home_net_passing_yards,home_total_yards,home_elo,away_pass_completions,away_pass_attempts,away_passing_touchdowns,away_interceptions_thrown,away_net_passing_yards,away_total_yards,away_elo
Cardinals,Browns,38,24,15,3,19,25,1,1,219,445,1358.2908008829363,30,43,2,1,241,393,1504.1948094239035
49ers,Falcons,22,29,15,-10,22,34,1,0,193,313,1628.2918295234756,25,39,2,0,201,290,1435.634968361183
Cowboys,Rams,44,21,15,1,15,23,2,0,212,476,1479.775031914931,34,52,2,1,267,389,1588.0002637610787
Chargers,Vikings,10,39,15,1,28,39,1,3,283,345,1477.0022820266554,19,25,1,1,207,344,1591.321997687172
Steelers,Bills,10,17,15,-1,23,38,1,4,178,229,1573.1010901282132,13,25,1,1,131,261,1533.574587361033
Saints,Colts,34,7,15,-8.5,29,30,4,0,307,424,1642.1349414231663,18,34,0,0,159,205,1452.3558092322357
Buccaneers,Texans,20,23,16,3,25,48,1,4,329,435,1506.6858804285214,19,32,0,1,161,229,1591.9182124620122
Chargers,Raiders,17,24,16,-7.5,27,39,0,0,265,284,1462.6730715531241,26,30,1,0,267,366,1415.6359704320673
Redskins,Giants,35,41,16,1.5,29,38,3,0,281,361,1363.2743872359267,28,42,5,0,346,552,1348.6617744622124
Titans,Saints,28,38,16,3.5,17,27,3,0,248,397,1531.6322538399413,28,40,3,0,275,377,1652.6834928089556
Jets,Steelers,16,10,16,3,16,26,1,0,174,259,1401.7783071464037,25,37,1,2,185,260,1549.7222494142602
Patriots,Bills,24,17,16,-6.5,26,33,1,0,271,414,1634.1368913522556,13,26,2,0,176,268,1556.953428074986
49ers,Rams,34,31,16,-7,16,27,1,2,215,334,1596.7100662426365,27,46,2,1,323,395,1560.6624932760008
Broncos,Lions,27,17,16,-8,26,34,1,0,198,348,1475.6885597754112,12,24,1,0,95,191,1356.96288804684
Falcons,Jaguars,24,12,16,-7.5,32,45,1,2,383,518,1467.216731642022,14,32,1,0,173,288,1415.8898011105948
Browns,Ravens,15,31,16,10,20,33,2,1,184,241,1474.860234661295,20,31,3,0,238,481,1685.3187356973651
Colts,Panthers,38,6,16,-7,14,27,0,0,106,324,1441.8072578464464,28,45,0,3,199,286,1425.9146865862479
Dolphins,Bengals,38,35,16,2,31,52,4,1,406,502,1321.2024558723717,33,56,4,0,371,430,1313.8864719984829
Seahawks,Cardinals,13,27,16,-8,16,31,1,0,133,224,1639.8548403537034,15,27,1,0,159,412,1387.6253756455449
Eagles,Cowboys,17,9,16,2.5,31,40,1,0,313,431,1511.2431085405274,25,44,0,0,257,311,1507.112802400009
Bears,Chiefs,3,26,16,7,18,34,0,0,133,234,1524.9989153069378,23,33,2,0,244,350,1638.4660226472072
Vikings,Packers,10,23,16,-4,16,32,1,1,82,139,1605.6512081607032,26,40,0,1,199,383,1633.1694249789866
Vikings,Bears,19,21,17,4.5,12,21,0,2,126,300,1586.3110185051294,26,37,0,0,179,337,1510.6233347804769
Bills,Jets,6,13,17,1,21,40,0,2,236,309,1540.5433579348073,23,36,1,1,185,271,1431.216516852233
Buccaneers,Falcons,22,28,17,-1,13,24,2,2,193,329,1490.7366501203987,30,56,1,0,286,373,1485.136758869681
Panthers,Saints,10,42,17,14,26,49,0,2,288,329,1405.8746096118919,20,31,3,0,264,379,1666.6491694220147
Bengals,Browns,33,23,17,2.5,16,28,1,1,182,361,1293.3286056323595,12,27,3,3,239,313,1465.2239072699242
Lions,Packers,20,23,17,13.5,13,30,1,1,134,305,1342.872140699778,27,55,2,1,312,432,1652.5096146345604
Chiefs,Chargers,31,21,17,-9.5,16,25,1,1,174,336,1652.841603173668,31,46,2,2,258,366,1438.8472581663534
Patriots,Dolphins,24,27,17,-17,16,29,2,1,217,352,1650.5469614924343,29,44,1,0,326,389,1341.760322238495
Giants,Eagles,17,34,17,4,28,47,1,1,275,397,1370.5444821340614,23,40,1,0,279,400,1531.9934727898544
Texans,Titans,14,35,17,10,21,36,0,1,192,301,1607.8674427701349,14,21,2,0,222,467,1517.6665772268823
Cowboys,Redskins,47,16,17,-12,23,33,4,0,294,517,1486.362438150682,18,37,1,1,183,271,1341.3916795640778
Jaguars,Colts,38,20,17,5.5,27,39,3,1,286,353,1397.969773882936,12,25,0,0,142,275,1461.8473348208024
Ravens,Steelers,28,10,17,1.5,11,21,0,1,81,304,1694.9550630887359,9,25,0,0,77,168,1520.2840397084308
Broncos,Raiders,16,15,17,-4.5,17,28,1,0,168,238,1489.7793071224733,29,46,1,0,380,477,1439.461783818838
Rams,Cardinals,31,24,17,-6.5,29,45,3,0,311,424,1541.8335270167786,27,43,2,2,322,393,1421.6579036036226
Seahawks,49ers,21,26,17,3.5,25,40,2,0,223,348,1605.8223123956257,18,22,0,0,270,398,1615.5390325018586
Patriots,Titans,13,20,18,-5,20,37,0,1,209,307,1614.6205724552224,9,16,1,1,71,282,1543.9992983050547
Texans,Bills,22,19,18,-2.5,20,25,1,0,219,360,1581.5347216919624,25,48,1,0,253,425,1513.1451257646795
Saints,Vikings,20,26,18,-7.5,27,34,1,1,227,324,1674.3039089146678,19,31,1,0,226,362,1560.8072593611416
Eagles,Seahawks,9,17,18,-1,19,28,0,0,162,282,1543.88163624303,18,30,1,0,318,382,1585.4094656630257
Ravens,Titans,12,28,19,-10,31,59,1,2,345,530,1706.2053483170603,8,15,3,0,83,300,1569.2100185003692
49ers,Vikings,27,10,19,-7,11,19,1,1,122,308,1635.9518792344586,21,29,1,1,126,147,1588.4332867246949
Chiefs,Texans,51,31,19,-10,23,35,5,0,316,434,1662.3276271602629,31,52,2,0,348,442,1598.4536325426832
Packers,Seahawks,28,23,19,-4.5,16,27,2,0,235,344,1658.5578242955619,21,31,1,0,265,375,1603.9112904588474
Chiefs,Titans,35,24,20,-7,23,35,3,0,292,319,1679.5098160308432,22,32,2,0,210,295,1598.086382356548
49ers,Packers,37,20,20,-8,6,8,0,0,69,354,1654.0974954430355,31,39,2,2,296,358,1676.2818019538663
Chiefs,49ers,31,20,21,-1.5,26,42,2,2,268,397,1695.676514288113,20,31,1,2,210,351,1676.4365590435461
