home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Giants,Redskins,16,7,9/4/2008,2008,1,-4.5,0,21,32,154,1,19,35,216,0,1,2,16,200,354,1,0,1,7,70,7,14,0,0,2143,209,0,0,0,0,1,8,0,11,24,84,0,15,27,133,1,0,1,8,125,209,0,0,0,7,35,3,13,1,2,1457,354,1,1,0,1,2,16
Ravens,Bengals,17,10,9/7/2008,2008,1,0,0,21,46,229,2,15,29,129,0,0,0,0,129,358,2,2,2,9,64,9,17,0,1,2175,154,1,1,1,2,2,10,0,8,24,70,0,9,24,94,0,1,2,10,84,154,1,1,2,5,40,2,13,0,2,1425,358,0,2,2,2,0,0
Eagles,Rams,38,3,9/7/2008,2008,1,-7,0,28,32,108,2,26,39,414,3,0,0,0,414,522,1,0,0,4,41,8,14,0,0,2110,166,0,1,0,0,4,28,0,8,15,36,0,14,26,158,0,0,4,28,130,166,1,0,0,9,66,0,11,0,0,1490,522,0,1,0,0,0,0
Titans,Jaguars,17,10,9/7/2008,2008,1,3,0,14,32,137,1,14,24,175,1,2,1,3,172,309,1,0,2,5,36,3,13,0,1,1720,189,2,1,1,3,7,59,0,13,17,33,0,23,35,215,1,2,7,59,156,189,1,1,3,6,50,5,14,1,1,1880,309,2,1,0,2,1,3
Patriots,Chiefs,17,10,9/7/2008,2008,1,-16,0,18,28,126,1,20,29,228,1,0,2,16,212,338,3,2,2,3,30,7,13,0,0,1789,284,1,0,0,1,4,24,0,14,27,102,0,19,31,206,1,1,4,24,182,284,0,0,1,2,15,8,16,0,1,1811,338,0,3,2,2,2,16
Dolphins,Jets,14,20,9/7/2008,2008,1,3,0,18,17,49,0,26,43,251,2,1,4,23,228,277,3,0,1,4,59,3,13,1,2,1739,293,0,3,1,1,3,13,0,15,31,112,1,15,22,194,2,0,3,13,181,293,3,1,1,7,40,5,13,1,1,1861,277,1,3,0,1,4,23
Bills,Seahawks,34,10,9/7/2008,2008,1,0,0,13,29,106,1,20,31,234,2,0,1,2,232,338,0,0,0,1,14,4,16,1,1,1879,252,1,2,1,2,5,23,0,16,21,85,0,17,41,190,1,1,5,23,167,252,2,1,2,5,30,3,16,0,1,1721,338,0,0,0,0,1,2
Colts,Bears,13,29,9/7/2008,2008,1,-9.5,0,23,15,53,0,30,49,257,1,0,2,17,240,293,1,1,1,6,40,5,11,0,2,1696,319,0,1,0,0,2,14,0,17,39,183,2,13,21,150,0,0,2,14,136,319,1,0,0,7,60,10,16,0,0,1904,293,0,1,1,1,2,17
49ers,Cardinals,13,23,9/7/2008,2008,1,2.5,0,13,20,108,1,14,20,195,0,1,4,12,183,291,5,4,5,3,20,3,8,0,0,1375,285,0,0,0,0,3,21,0,18,39,109,1,19,30,197,1,0,3,21,176,285,0,0,0,4,40,5,16,2,3,2225,291,1,5,4,5,4,12
Saints,Buccaneers,24,20,9/7/2008,2008,1,-3,0,16,27,101,0,23,32,343,3,1,1,6,337,438,1,0,1,7,51,5,13,0,0,1892,352,1,0,0,1,2,15,0,18,20,146,0,24,41,221,1,1,2,15,206,352,0,0,1,7,66,2,12,0,1,1708,438,1,1,0,1,1,6
