home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Giants,49ers,13,16,9/5/2002,2002,1,3.5,0,21,22,43,1,28,45,342,0,3,3,24,318,361,0,0,3,10,80,9,16,0,1,1948,279,1,0,0,1,0,0,0,13,25,113,0,16,26,166,1,1,0,0,166,279,0,0,1,5,29,4,12,0,0,1652,361,3,0,0,3,3,24
Texans,Cowboys,19,10,9/8/2002,2002,1,8,0,13,35,87,0,10,22,145,2,1,6,22,123,210,1,0,1,11,80,2,15,0,0,2035,267,1,3,1,2,3,19,0,11,24,155,1,13,30,131,0,1,3,19,112,267,3,1,2,9,117,2,13,0,0,1565,210,1,1,0,1,6,22
Redskins,Cardinals,31,23,9/8/2002,2002,1,-7,0,21,32,122,1,28,40,327,3,1,1,7,320,442,0,0,1,7,56,9,16,1,2,2064,257,1,1,0,1,1,0,0,14,20,70,1,14,36,187,1,1,1,0,187,257,1,0,1,1,5,4,13,0,0,1536,442,1,0,0,1,1,7
Raiders,Seahawks,31,17,9/8/2002,2002,1,-7,0,27,40,221,2,19,28,214,2,1,2,12,202,423,1,1,2,5,45,7,12,1,1,2091,186,0,2,0,0,3,12,0,14,16,43,0,23,32,155,2,0,3,12,143,186,2,0,0,13,105,1,11,2,2,1509,423,1,1,1,2,2,12
Panthers,Ravens,10,7,9/8/2002,2002,1,2,0,15,36,145,0,12,19,136,1,0,2,16,120,265,1,0,0,6,35,5,14,0,0,2031,289,1,0,0,1,2,6,0,15,19,77,0,20,34,218,1,1,2,6,212,289,0,0,1,6,45,5,14,0,0,1569,265,0,1,0,0,2,16
Dolphins,Lions,49,21,9/8/2002,2002,1,-8.5,0,27,41,182,3,18,27,207,3,0,0,0,207,389,2,0,0,4,54,6,12,1,1,2064,257,1,2,1,2,3,14,0,15,19,51,2,17,36,220,1,1,3,14,206,257,2,1,2,6,68,7,14,0,1,1536,389,0,2,0,0,0,0
Broncos,Rams,23,16,9/8/2002,2002,1,3,0,18,26,104,0,18,27,202,2,2,4,15,187,291,1,0,2,3,31,2,10,1,1,1694,327,1,2,1,2,3,20,0,15,13,32,1,32,41,315,0,1,3,20,295,327,2,1,2,6,44,3,12,0,1,1906,291,2,1,0,2,4,15
Titans,Eagles,27,24,9/8/2002,2002,1,-1,0,22,25,61,1,24,34,269,2,1,1,2,267,328,4,3,4,6,50,6,10,0,0,1848,261,2,1,1,3,6,31,0,17,22,80,0,18,36,212,3,2,6,31,181,261,1,1,3,10,113,7,15,1,1,1752,328,1,4,3,4,1,2
Jaguars,Colts,25,28,9/8/2002,2002,1,3.5,0,19,32,118,1,22,36,228,2,1,1,3,225,343,3,1,2,5,40,8,16,3,3,1953,307,0,2,2,2,1,8,0,18,28,104,0,19,31,211,3,0,1,8,203,307,2,2,2,2,14,9,14,0,0,1647,343,1,3,1,2,1,3
Bills,Jets,31,37,9/8/2002,2002,1,3,0,26,32,142,3,26,39,271,1,2,4,29,242,384,1,1,3,10,82,7,17,2,2,2348,266,0,1,1,1,3,17,0,18,14,73,0,24,30,210,2,0,3,17,193,266,1,1,1,10,90,2,8,0,0,1266,384,2,1,1,3,4,29
Bears,Vikings,27,23,9/8/2002,2002,1,-4.5,0,20,26,80,1,20,33,297,2,1,1,9,288,368,1,1,2,4,33,7,13,0,0,1709,368,2,2,1,3,1,6,0,19,33,140,1,16,28,234,1,2,1,6,228,368,2,1,3,8,52,5,13,0,0,1891,368,1,1,1,2,1,9
Buccaneers,Saints,20,26,9/8/2002,2002,1,-6,0,19,21,72,0,28,53,278,2,1,3,17,261,333,1,0,1,8,85,7,19,0,1,1889,368,1,0,0,1,2,10,0,21,34,118,0,24,42,260,2,1,2,10,250,368,0,0,1,5,45,10,20,0,0,2441,333,1,1,0,1,3,17
Packers,Falcons,37,34,9/8/2002,2002,1,-7,0,29,38,211,2,25,36,284,2,0,2,11,273,484,3,1,1,3,15,8,15,1,1,2330,374,0,2,1,1,4,15,0,22,30,180,3,15,23,209,1,0,4,15,194,374,2,1,1,4,82,4,8,0,0,1855,484,0,3,1,1,2,11
Browns,Chiefs,39,40,9/8/2002,2002,1,-2.5,0,24,20,59,0,28,40,359,4,0,1,7,352,411,1,1,1,4,38,4,11,0,0,1784,470,1,0,0,1,0,0,0,24,30,194,4,20,29,276,1,1,0,0,276,470,0,0,1,9,87,5,11,0,0,1816,411,0,1,1,1,1,7
Bengals,Chargers,6,34,9/8/2002,2002,1,-2,0,13,13,36,0,18,31,198,0,1,4,31,167,203,0,0,1,9,57,4,11,0,0,1332,401,0,0,0,0,1,0,0,27,45,241,2,15,19,160,2,0,1,0,160,401,0,0,0,4,39,6,10,0,0,2268,203,1,0,0,1,4,31
Patriots,Steelers,30,14,9/9/2002,2002,1,2.5,0,20,18,63,0,29,43,294,3,0,2,14,280,343,1,1,1,7,88,5,13,0,0,1769,283,3,2,2,5,5,38,0,20,24,74,1,25,38,247,1,3,5,38,209,283,2,2,5,13,112,4,14,2,2,1831,343,0,1,1,1,2,14
Chargers,Texans,24,3,9/15/2002,2002,2,-12.5,1,16,35,124,1,15,28,163,1,1,2,20,143,267,1,0,1,4,35,4,14,0,0,1944,118,2,2,1,3,9,58,1,7,25,89,0,6,25,87,0,2,9,58,29,118,2,1,3,12,73,1,14,1,2,1656,267,1,1,0,1,2,20
Panthers,Lions,31,7,9/15/2002,2002,2,-3,1,20,30,75,2,21,33,310,1,0,0,0,310,385,1,0,0,4,55,3,14,0,0,2023,122,2,2,1,3,6,57,1,12,22,73,1,12,30,106,0,2,6,57,49,122,2,1,3,11,100,1,15,0,0,1577,385,0,1,0,0,0,0
Falcons,Bears,13,14,9/15/2002,2002,2,-3,1,19,30,122,0,17,28,166,1,0,4,31,135,257,3,3,3,5,40,5,13,0,0,1885,242,1,2,1,2,1,7,1,13,31,106,1,12,24,143,1,1,1,7,136,242,2,1,2,7,79,4,13,0,0,1715,257,0,3,3,3,4,31
Rams,Giants,21,26,9/15/2002,2002,2,-12.5,1,18,17,92,2,26,39,266,1,2,1,6,260,352,2,2,4,8,40,3,9,0,1,1499,394,1,0,0,1,2,16,1,16,38,103,0,22,26,307,1,1,2,16,291,394,0,0,1,4,30,6,15,0,0,2101,352,2,2,2,4,1,6
Colts,Dolphins,13,21,9/15/2002,2002,2,-2,1,29,31,143,0,26,45,289,1,3,0,0,289,432,0,0,3,5,35,4,11,1,2,1873,342,1,2,0,1,1,8,1,17,34,163,1,13,18,187,2,1,1,8,179,342,2,0,1,11,68,5,10,0,0,1727,432,3,0,0,3,0,0
Ravens,Buccaneers,0,25,9/15/2002,2002,2,3.5,1,12,20,55,0,16,38,141,0,1,3,23,118,173,1,0,1,3,25,4,15,1,2,1469,279,0,1,0,0,1,6,1,17,30,74,0,24,31,211,0,0,1,6,205,279,1,0,0,10,74,6,14,0,0,2131,173,1,1,0,1,3,23
Saints,Packers,35,20,9/15/2002,2002,2,2,1,16,28,146,2,16,28,217,2,2,1,6,211,357,2,0,2,9,59,7,12,0,0,1774,357,1,3,3,4,1,8,1,18,21,95,0,29,44,270,2,1,1,8,262,357,3,3,4,7,73,3,13,0,2,1826,357,2,2,0,2,1,6
Seahawks,Cardinals,13,24,9/15/2002,2002,2,-3.5,1,26,29,81,0,29,47,352,1,0,1,7,345,426,2,1,1,7,35,4,13,0,3,1860,347,1,2,0,1,2,9,1,19,35,249,1,10,22,107,1,1,2,9,98,347,2,0,1,7,42,6,13,0,0,1740,426,0,2,1,1,1,7
Chiefs,Jaguars,16,23,9/15/2002,2002,2,-4,1,18,28,140,0,16,32,199,1,2,1,3,196,336,0,0,2,5,48,6,13,0,0,1696,450,0,1,1,1,0,0,1,19,29,130,1,25,36,320,2,0,0,0,320,450,1,1,1,5,45,7,15,1,1,1904,336,2,0,0,2,1,3
Cowboys,Titans,21,13,9/15/2002,2002,2,3,1,14,26,67,0,14,24,240,2,0,1,10,230,297,0,0,0,2,15,4,12,0,0,1455,333,1,1,0,1,3,24,1,19,26,98,0,23,43,259,1,1,3,24,235,333,1,0,1,6,55,7,17,1,2,2145,297,0,0,0,0,1,10
49ers,Broncos,14,24,9/15/2002,2002,2,-3.5,1,18,20,71,1,27,36,205,1,1,2,15,190,261,2,1,2,10,114,8,13,0,0,1767,299,0,1,1,1,4,21,1,21,35,201,1,14,19,119,2,0,4,21,98,299,1,1,1,3,30,5,10,0,0,1833,261,1,2,1,2,2,15
Jets,Patriots,7,44,9/15/2002,2002,2,-1.5,1,9,9,32,0,18,33,189,1,1,5,21,168,200,1,1,2,7,55,1,12,1,3,1316,432,1,1,1,2,0,0,1,24,40,163,1,25,35,269,2,1,0,0,269,432,1,1,2,3,36,10,16,2,2,2284,200,1,1,1,2,5,21
Vikings,Bills,39,45,9/15/2002,2002,2,-4.5,1,31,39,213,2,25,46,281,3,0,5,45,236,449,5,3,3,8,65,7,16,3,3,2389,468,0,2,0,0,3,26,1,26,14,31,0,35,49,463,3,0,3,26,437,468,2,0,0,6,65,4,12,0,0,1823,449,0,5,3,3,5,45
Steelers,Raiders,17,30,9/15/2002,2002,2,-4,1,14,18,72,0,18,34,201,2,1,0,0,201,273,4,4,5,6,57,4,10,0,0,1226,464,2,1,0,2,5,34,1,27,17,95,1,43,65,403,1,2,5,34,369,464,1,0,2,7,69,12,20,0,0,2374,273,1,4,4,5,0,0
Browns,Bengals,20,7,9/15/2002,2002,2,-4.5,1,15,27,75,0,17,30,198,2,0,1,8,190,265,0,0,0,12,87,4,12,0,1,1722,357,3,2,0,3,5,38,1,28,31,156,0,26,47,239,1,3,5,38,201,357,2,0,3,3,30,9,17,0,2,1878,265,0,0,0,0,1,8
