id,home_team,away_team,home_score,away_score,date,year,week,home_spread,home_won_toss,roof,surface,duration,attendance,temperature,humidity,wind_speed,wind_chill,home_games_played,home_first_quarter_points,home_second_quarter_points,home_third_quarter_points,home_fourth_quarter_points,home_overtime_points,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_quarter_points,away_second_quarter_points,away_third_quarter_points,away_fourth_quarter_points,away_overtime_points,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced,home_average_win_probability,away_average_win_probability
c00c39b8-c52a-4295-8beb-54fde76cd4d7,Steelers,Raiders,24,21,9/12/2004,2004,1,-3.5,True,outdoors,dessograss,191.0,60147.0,65.0,90.0,5.0,0.0,0,7.0,7.0,7.0,3.0,0.0,17,33,107,3,13,22,142,0,0,2,12,130,237,2,1,1,3,20,6,12,0,0,1757,358,2,5,2,4,3,8,0,0.0,7.0,3.0,11.0,0.0,18,22,61,0,20,37,305,2,2,3,8,297,358,5,2,4,5,31,5,14,2,2,1843,237,0,2,1,1,2,12,0.7548779338855833,0.24512206611441667
6b82abe0-e9f5-4098-ba50-dddae713097f,Jets,Bengals,31,24,9/12/2004,2004,1,-5.5,True,outdoors,fieldturf,168.0,77230.0,76.0,77.0,5.0,0.0,0,14.0,0.0,10.0,7.0,0.0,24,34,219,1,20,27,224,2,0,1,5,219,438,3,1,1,1,7,8,12,0,1,1847,351,1,1,1,2,1,10,0,7.0,3.0,7.0,7.0,0.0,19,28,113,1,18,27,248,2,1,1,10,238,351,1,1,2,6,49,8,12,0,0,1753,438,0,3,1,1,1,5,0.7154542288244444,0.2845457711755556
ca62eb64-6227-4678-882d-074e897d8b1d,Eagles,Giants,31,17,9/12/2004,2004,1,-8.0,False,outdoors,grass,194.0,67532.0,78.0,50.0,8.0,0.0,0,14.0,10.0,7.0,0.0,0.0,21,27,141,0,26,36,330,4,0,2,17,313,454,0,0,0,8,50,7,13,0,0,1930,413,0,3,1,1,5,26,0,7.0,3.0,0.0,7.0,0.0,19,23,170,2,19,37,269,0,0,5,26,243,413,3,1,1,5,30,5,15,1,2,1670,454,0,0,0,0,2,17,0.8126847051099723,0.18731529489002774
c7cb97a8-bf61-476a-a6a0-8e8557ccdd5a,Saints,Seahawks,7,21,9/12/2004,2004,1,2.5,False,dome,fieldturf,187.0,64900.0,,,,,0,0.0,7.0,0.0,0.0,0.0,12,19,74,0,18,37,223,1,1,2,16,207,281,2,2,3,8,68,3,14,0,1,1583,415,1,1,1,2,0,0,0,0.0,14.0,7.0,0.0,0.0,21,43,169,2,19,29,246,1,1,0,0,246,415,1,1,2,5,45,6,15,0,0,2017,281,1,2,2,3,2,16,0.21930642242294443,0.7806935775770556
b9cbac9f-6a74-47b8-8ff8-c878e042857a,Vikings,Cowboys,35,17,9/12/2004,2004,1,-6.0,False,dome,fieldturf,200.0,64105.0,,,,,0,0.0,14.0,14.0,7.0,0.0,23,28,136,0,18,24,279,5,0,2,0,279,415,1,0,0,5,40,5,8,0,0,1816,423,0,4,2,2,1,3,0,3.0,7.0,7.0,0.0,0.0,27,21,71,1,29,51,355,1,0,1,3,352,423,4,2,2,9,119,8,15,1,2,1784,415,0,1,0,0,2,0,0.6904436630858888,0.3095563369141112
8e0be666-5591-4f8b-9c2a-0fc3f6cbf3d2,Panthers,Packers,14,24,9/13/2004,2004,1,-3.5,False,outdoors,grass,182.0,73656.0,74.0,58.0,5.0,0.0,0,0.0,7.0,0.0,7.0,0.0,17,13,38,0,23,40,284,2,1,2,22,262,300,2,1,2,9,59,3,10,0,0,1316,279,0,1,0,0,2,16,0,3.0,7.0,14.0,0.0,0.0,22,47,152,2,15,22,143,1,0,2,16,127,279,1,0,0,8,77,10,16,0,0,2284,300,1,2,1,2,2,22,0.2607162347631667,0.7392837652368334
2c487f69-fae7-43d2-adc5-628c713d169a,Buccaneers,Seahawks,6,10,9/19/2004,2004,2,3.0,False,outdoors,grass,180.0,65089.0,88.0,46.0,8.0,0.0,1,0.0,3.0,0.0,3.0,0.0,17,24,92,0,25,39,209,0,2,5,30,179,271,3,1,3,1,5,4,15,0,0,2023,182,1,1,0,1,5,23,1,3.0,7.0,0.0,0.0,0.0,9,22,58,0,12,26,147,1,1,5,23,124,182,1,0,1,7,59,1,14,0,0,1577,271,2,3,1,3,5,30,0.25304606607902774,0.7469539339209723
4f28476d-3820-45a3-aa5e-6621411d4582,Bengals,Dolphins,16,13,9/19/2004,2004,2,-5.0,True,outdoors,fieldturf,192.0,65705.0,72.0,41.0,9.0,0.0,1,0.0,0.0,13.0,3.0,0.0,12,29,94,0,21,38,147,0,1,5,31,116,210,0,0,1,3,19,5,19,0,0,1887,226,2,4,1,3,2,17,1,0.0,3.0,0.0,10.0,0.0,11,20,25,0,21,39,218,1,2,2,17,201,226,4,1,3,8,69,3,16,0,0,1713,210,1,0,0,1,5,31,0.6067455597623889,0.39325444023761114
5d5d3949-47af-4c15-94fe-2d49fe347ae4,Cowboys,Browns,19,12,9/19/2004,2004,2,-5.0,False,outdoors,fieldturf,195.0,63119.0,91.0,36.0,12.0,0.0,1,7.0,3.0,7.0,2.0,0.0,20,28,126,1,23,35,322,1,3,1,7,315,441,1,1,4,11,120,4,13,2,2,2168,202,3,1,0,3,1,5,1,0.0,9.0,0.0,3.0,0.0,12,26,136,0,8,28,71,0,3,1,5,66,202,1,0,3,6,31,2,12,0,0,1432,441,3,1,1,4,1,7,0.6557972179605278,0.3442027820394722
144afc48-99e7-41e9-8625-b36276092346,Raiders,Bills,13,10,9/19/2004,2004,2,-3.5,True,outdoors,grass,183.0,53610.0,64.0,65.0,15.0,0.0,1,0.0,7.0,3.0,3.0,0.0,12,26,73,0,19,27,209,1,0,2,9,200,273,0,0,0,10,96,8,15,0,0,1781,243,1,0,0,1,7,46,1,0.0,3.0,0.0,7.0,0.0,14,24,67,0,14,25,222,1,1,7,46,176,243,0,0,1,7,55,4,13,2,3,1819,273,0,0,0,0,2,9,0.6952550880446112,0.3047449119553888
