home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Bears,Seahawks,13,14,9/19/1999,1999,2,3.5,1,20,30,115,1,23,44,216,0,0,3,20,196,311,1,1,1,13,89,7,18,2,2,1917,349,0,3,3,3,6,34,1,19,28,100,0,18,30,283,2,0,6,34,249,349,3,3,3,8,70,6,13,0,1,1683,311,0,1,1,1,3,20
Vikings,Raiders,17,22,9/19/1999,1999,2,-11.0,1,19,15,34,0,23,39,364,2,2,6,44,320,354,2,1,3,7,42,6,13,0,1,1603,402,0,2,1,1,1,8,1,22,33,162,1,21,33,248,1,0,1,8,240,402,2,1,1,9,78,4,13,0,0,1997,354,2,2,1,3,6,44
49ers,Saints,28,21,9/19/1999,1999,2,-11.0,1,21,23,88,1,23,35,258,2,1,5,35,223,311,1,0,1,3,28,2,11,2,4,1744,324,2,3,1,3,0,0,1,17,30,101,0,20,37,223,3,2,0,0,223,324,3,1,3,8,79,6,15,2,4,1856,311,1,1,0,1,5,35
Patriots,Colts,31,28,9/19/1999,1999,2,-4.5,1,26,27,108,0,27,45,299,4,0,1,7,292,400,1,1,1,15,135,6,13,0,0,1743,344,2,2,2,4,0,0,1,23,33,121,1,18,30,223,3,2,0,0,223,344,2,2,4,7,59,4,10,0,0,1857,400,0,1,1,1,1,7
Lions,Packers,23,15,9/19/1999,1999,2,6.5,1,9,32,82,1,9,16,219,2,2,4,23,196,278,3,0,2,6,52,4,13,0,1,1577,437,1,2,2,3,1,5,1,21,31,154,1,20,41,288,0,1,1,5,283,437,2,2,3,5,25,6,15,0,1,2023,278,2,3,0,2,4,23
Giants,Redskins,21,50,9/19/1999,1999,2,-2.5,1,18,17,83,2,23,38,312,1,2,2,22,290,373,2,1,3,8,106,2,10,1,3,1604,395,0,2,0,0,0,0,1,28,41,164,3,20,28,231,3,0,0,0,231,395,2,0,0,5,40,7,12,0,1,1996,373,2,2,1,3,2,22
Bengals,Chargers,7,34,9/19/1999,1999,2,-1.0,1,10,17,47,0,17,33,168,1,1,3,35,133,180,7,4,5,6,40,5,14,0,0,1290,266,0,2,0,0,4,26,0,14,35,91,0,18,31,201,2,0,4,26,175,266,2,0,0,6,47,9,20,0,0,2310,180,1,7,4,5,3,35
Dolphins,Cardinals,19,16,9/19/1999,1999,2,-9.0,1,14,31,83,0,21,35,221,1,2,0,0,221,304,3,2,4,9,81,4,14,1,1,1912,184,4,0,0,4,2,18,1,13,28,64,0,12,28,138,0,4,2,18,120,184,0,0,4,2,15,3,13,0,1,1688,304,2,3,2,4,0,0
Eagles,Buccaneers,5,19,9/19/1999,1999,2,6.5,1,9,20,84,0,16,30,126,0,1,9,60,66,150,2,0,1,3,45,4,17,0,0,1569,220,2,1,0,2,2,25,1,16,44,156,0,7,14,89,2,2,2,25,64,220,1,0,2,6,55,5,13,0,0,2031,150,1,2,0,1,9,60
Chiefs,Broncos,26,10,9/19/1999,1999,2,3.5,1,17,41,188,2,15,20,179,0,1,1,2,177,365,1,0,1,10,84,5,13,1,1,2008,244,2,4,2,4,2,16,1,20,26,88,1,20,31,172,0,2,2,16,156,244,4,2,4,8,50,1,7,0,0,1592,365,1,1,0,1,1,2
