home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Vikings,Bears,30,27,9/3/2000,2000,1,-4.5,0,17,30,186,3,13,23,190,0,1,1,2,188,374,2,0,1,4,20,6,13,0,0,1646,425,0,2,1,1,2,18,0,23,25,153,1,27,41,290,2,0,2,18,272,425,2,1,1,5,45,9,15,0,0,1954,374,1,2,0,1,1,2
Redskins,Panthers,20,17,9/3/2000,2000,1,-10.5,0,23,31,162,2,25,36,234,0,0,0,0,234,396,0,0,0,7,64,5,12,0,1,1994,236,0,1,1,1,6,59,0,12,20,112,0,17,26,183,1,0,6,59,124,236,1,1,1,9,65,2,11,1,1,1606,396,0,0,0,0,0,0
Dolphins,Seahawks,23,0,9/3/2000,2000,1,-2.0,0,16,41,181,1,15,24,134,1,0,2,7,127,308,1,1,1,6,36,3,13,0,0,2300,143,4,3,2,6,4,12,0,8,19,71,0,10,24,84,0,4,4,12,72,143,3,2,6,2,10,1,11,0,1,1300,308,0,1,1,1,2,7
Browns,Jaguars,7,27,9/3/2000,2000,1,10.5,0,9,16,96,0,19,27,160,1,0,1,7,153,249,1,1,1,3,25,3,10,1,2,1377,398,0,1,0,0,4,22,0,28,40,119,2,24,34,301,1,0,4,22,279,398,1,0,0,1,5,10,16,0,0,2223,249,0,1,1,1,1,7
Saints,Lions,10,14,9/3/2000,2000,1,0.0,0,13,25,106,0,18,34,169,0,1,5,23,146,252,5,2,3,12,89,6,17,0,1,1751,187,1,2,1,2,2,11,0,10,32,98,0,13,25,100,0,1,2,11,89,187,2,1,2,8,74,4,16,0,1,1849,252,1,5,2,3,5,23
Raiders,Chargers,9,6,9/3/2000,2000,1,-6.5,0,13,25,67,0,20,35,176,1,0,4,10,166,233,2,0,0,8,60,3,16,0,0,1890,255,3,2,1,4,2,18,0,17,28,76,1,19,42,197,0,3,2,18,179,255,2,1,4,4,35,8,18,0,1,1710,233,0,2,0,0,4,10
Giants,Cardinals,21,16,9/3/2000,2000,1,-6.5,0,20,41,223,3,17,25,172,0,1,0,0,172,395,3,1,2,9,68,7,14,0,0,1890,355,3,2,1,4,1,6,0,19,20,43,0,28,49,318,2,3,1,6,312,355,2,1,4,1,5,6,15,0,2,1710,395,1,3,1,2,0,0
Packers,Jets,16,20,9/3/2000,2000,1,-2.5,0,13,16,62,0,14,34,152,1,1,1,3,149,211,3,1,2,10,81,4,11,0,0,1330,379,1,0,0,1,0,0,0,24,34,118,1,23,44,261,1,1,0,0,261,379,0,0,1,10,75,12,20,0,0,2270,211,1,3,1,2,1,3
Bills,Titans,16,13,9/3/2000,2000,1,-1.0,0,17,35,129,0,13,26,174,1,0,5,37,137,266,0,0,0,6,91,3,16,0,0,1991,172,1,1,0,1,4,33,0,9,20,53,1,17,31,152,0,1,4,33,119,172,1,0,1,12,112,2,14,0,1,1609,266,0,0,0,0,5,37
Patriots,Buccaneers,16,21,9/3/2000,2000,1,3.0,0,14,21,88,0,26,39,216,1,0,6,26,190,278,2,1,1,5,33,4,17,1,2,1705,296,0,2,1,1,1,11,0,17,38,140,2,12,24,167,1,0,1,11,156,296,2,1,1,4,25,6,16,0,0,1895,278,0,2,1,1,6,26
Cowboys,Eagles,14,41,9/3/2000,2000,1,-6.0,0,10,13,67,0,13,31,135,1,2,5,35,100,167,0,0,2,9,93,4,13,0,0,1230,425,3,0,0,3,1,11,0,27,46,306,3,16,29,130,1,3,1,11,119,425,0,0,3,4,25,7,12,0,0,2370,167,2,0,0,2,5,35
Steelers,Ravens,0,16,9/3/2000,2000,1,2.5,0,12,18,30,0,17,39,199,0,0,1,6,193,223,3,1,1,2,15,4,14,0,2,1493,336,0,0,0,0,1,3,0,18,36,140,0,18,32,199,1,0,1,3,196,336,0,0,0,6,42,5,16,1,1,2107,223,0,3,1,1,1,6
Falcons,49ers,36,28,9/3/2000,2000,1,-6.5,0,22,32,95,0,16,31,264,2,0,0,0,264,359,2,1,1,4,51,4,11,0,0,1899,339,1,3,0,1,1,6,0,23,24,92,1,23,36,253,3,1,1,6,247,339,3,0,1,7,42,2,9,0,1,1701,359,0,2,1,1,0,0
Chiefs,Colts,14,27,9/3/2000,2000,1,3.5,0,17,24,74,0,16,37,212,2,1,1,6,206,280,0,0,1,6,50,5,15,0,1,1607,386,1,1,1,2,1,6,0,20,32,119,1,22,32,273,1,1,1,6,267,386,1,1,2,7,78,6,13,0,0,1993,280,1,0,0,1,1,6
Rams,Broncos,41,36,9/4/2000,2000,1,-6.5,0,23,18,80,2,25,35,441,3,3,2,8,433,513,0,0,3,5,56,6,7,0,0,1667,424,0,1,0,0,4,33,0,25,28,150,1,19,29,307,2,0,4,33,274,424,1,0,0,5,27,5,11,0,1,1933,513,3,0,0,3,2,8
Bills,Packers,27,18,9/10/2000,2000,2,-6.0,1,20,34,89,0,18,26,259,3,1,5,39,220,309,0,0,1,5,33,6,15,0,0,2003,274,0,4,3,3,4,35,1,14,16,40,0,25,35,269,2,0,4,35,234,274,4,3,3,2,12,2,12,2,2,1597,309,1,0,0,1,5,39
Cardinals,Cowboys,32,31,9/10/2000,2000,2,-3.0,1,21,33,98,1,18,24,243,2,0,2,19,224,322,4,1,1,2,15,7,12,0,0,1880,330,0,2,2,2,1,3,1,17,22,90,0,24,34,243,3,0,1,3,240,330,2,2,2,5,102,5,12,3,4,1720,322,0,4,1,1,2,19
Buccaneers,Bears,41,0,9/10/2000,2000,2,-7.0,1,21,36,156,2,13,24,186,2,0,2,15,171,327,0,0,0,3,20,5,13,0,0,2016,165,2,3,2,4,5,47,1,9,22,116,0,15,29,96,0,2,5,47,49,165,3,2,4,9,64,1,11,1,1,1584,327,0,0,0,0,2,15
Vikings,Dolphins,13,7,9/10/2000,2000,2,-3.0,1,24,28,125,0,23,37,355,1,3,3,12,343,468,3,1,4,7,60,5,11,0,0,2239,209,1,0,0,1,3,15,1,10,16,49,0,12,31,175,1,1,3,15,160,209,0,0,1,7,40,3,13,0,0,1361,468,3,3,1,4,3,12
Ravens,Jaguars,39,36,9/10/2000,2000,2,-3.0,1,17,18,89,0,23,40,262,5,2,3,20,242,331,1,0,2,8,65,3,13,0,0,1717,421,2,4,2,4,4,11,1,22,21,46,0,28,50,386,3,2,4,11,375,421,4,2,4,10,60,5,14,0,1,1883,331,2,1,0,2,3,20
