Best parameters set found on development set:
-0.21278 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.009) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21279 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21279 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21279 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21279 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21279 (+/-0.009) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21280 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21280 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21281 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21281 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21281 (+/-0.010) for {'max_features': 9, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21281 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21281 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21281 (+/-0.009) for {'max_depth': 6, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21281 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_depth': 6, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21282 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
