vote_probs,lr_probs,svc_probs,rf_probs,outcome
0.483129277,0.465772488,0.469888493,0.513837533,1
0.737930155,0.73480319,0.735383799,0.743623919,1
0.404021777,0.39712775,0.391669626,0.423334083,0
0.789755539,0.796615155,0.801896969,0.77068916,0
0.688915697,0.695646126,0.710177804,0.660829843,1
0.687413016,0.694527333,0.70300425,0.664630335,1
0.776225839,0.784084463,0.782595367,0.761946403,1
0.481440283,0.464175726,0.459438516,0.520844302,0
0.326969975,0.378590781,0.361510367,0.240494714,0
0.626393804,0.616042069,0.616902598,0.646307739,0
0.587706396,0.599081097,0.595065794,0.568903878,1
0.58933068,0.60007922,0.601836394,0.565994424,1
0.556020717,0.567228612,0.569749458,0.530996424,0
0.728178384,0.722013476,0.726489337,0.736062233,1
0.116023568,0.034217975,0.035877864,0.278551975,0
0.284480664,0.290604571,0.287623967,0.275179178,0
0.483295188,0.468117411,0.464881677,0.517004625,1
0.676561815,0.672260599,0.688922007,0.668481388,1
0.673551399,0.682861462,0.670895821,0.666868036,0
0.397707034,0.403026125,0.462577492,0.327293527,1
0.400945194,0.405856349,0.31895956,0.478256268,1
0.67282094,0.652599386,0.722425791,0.643363373,0
0.607563594,0.619874988,0.638653028,0.564016451,0
0.289631072,0.252564805,0.280738249,0.335765961,0
0.46063609,0.44398658,0.430112652,0.507970907,0
0.782926772,0.795189832,0.768298134,0.785289097,1
0.705522492,0.705193839,0.74546397,0.665786162,1
0.847248847,0.849294487,0.849615591,0.842820899,1
0.474558278,0.44833394,0.474473177,0.500972697,1
0.666541744,0.686175069,0.65399033,0.659420658,1
0.530034312,0.57438983,0.549273634,0.466202237,1
0.67099983,0.680682793,0.694911191,0.637292117,1
0.567287074,0.591289675,0.588010716,0.522400225,1
0.56474335,0.55507449,0.615240788,0.523795577,0
0.470366172,0.434976507,0.449666169,0.52666184,1
0.709738727,0.696224018,0.691805212,0.741296958,1
0.902625678,0.917091558,0.922449753,0.868216009,0
0.565420417,0.583306687,0.570220684,0.542647458,1
0.67474327,0.67984499,0.668123525,0.676261612,1
0.574451637,0.579903882,0.596209526,0.54715174,1
0.704178023,0.701629091,0.687993457,0.722972276,0
0.809791028,0.804341708,0.806864372,0.818197908,0
0.676405784,0.699726106,0.664562891,0.664872246,1
0.766902138,0.734305888,0.780025289,0.786464385,1
0.547815251,0.552319611,0.552973812,0.538118223,1
0.308407127,0.302882574,0.305780662,0.316588412,0
0.281851038,0.27714167,0.27645013,0.291996998,1
0.535872235,0.54505391,0.528115166,0.534435207,0
0.757116841,0.731076128,0.737795955,0.802642801,1
0.743640315,0.727852124,0.736803179,0.766350052,1
0.715953168,0.7044705,0.712110606,0.731336256,1
0.403994296,0.39221721,0.397907301,0.421924426,1
0.495462305,0.477552786,0.493398773,0.515513318,0
0.77274947,0.779706468,0.771715286,0.766802109,1
0.524469971,0.570688507,0.577115252,0.425257084,1
0.546016152,0.576845929,0.593411066,0.467520248,1
0.629727423,0.613122204,0.61575704,0.660412988,0
0.363046318,0.371360786,0.378816642,0.338879043,0
0.57852681,0.592489904,0.60297603,0.539982336,1
0.417255024,0.399540137,0.442351142,0.409866104,0
0.791132215,0.801134973,0.805644808,0.766531569,1
0.555461763,0.590801143,0.570697209,0.504698214,0
0.375195357,0.373974163,0.420050977,0.331425633,0
0.810446251,0.813094205,0.817544024,0.800667771,1
0.287250184,0.281686297,0.276023676,0.304097878,1
0.604497544,0.602323586,0.592296195,0.618919662,1
0.48147832,0.461868363,0.463224301,0.519477644,1
0.573607136,0.604105222,0.563226479,0.553400367,1
0.541084745,0.547787946,0.538317393,0.537130776,1
0.366637499,0.384046797,0.371565297,0.344215487,1
0.733925861,0.707336786,0.708151196,0.786476317,1
0.689873587,0.704744977,0.708688897,0.656068708,1
0.663736697,0.676858324,0.662151898,0.652152426,1
0.59317469,0.604905665,0.575293586,0.599333854,0
0.623441649,0.613851653,0.622369815,0.634145121,0
0.268843132,0.24806478,0.243278223,0.315349251,0
0.631335473,0.623787114,0.620511784,0.649771485,1
0.673870285,0.692785864,0.666317017,0.662456046,1
0.446129147,0.430540517,0.422468134,0.485514977,0
0.595402022,0.605359735,0.618760413,0.561973161,1
0.465263008,0.44625899,0.448014865,0.501644955,1
0.410921532,0.401441892,0.402997471,0.428387848,0
0.542831951,0.573420003,0.587897008,0.466915874,1
0.792532292,0.795572057,0.79242223,0.789590797,1
0.5313997,0.534340983,0.522458102,0.537416212,0
0.526141691,0.52481011,0.536877469,0.516709261,0
0.787909201,0.802706092,0.792464817,0.768483371,1
0.273831806,0.269493847,0.266036217,0.286007036,1
0.281408818,0.267001615,0.267394269,0.309931894,0
0.427244506,0.410556588,0.418441756,0.452829318,0
0.377024107,0.384434134,0.363439786,0.383211265,1
0.644815257,0.628920483,0.648080339,0.657498213,1
0.77792812,0.774715449,0.786915811,0.772137841,1
