mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
2.393004322052002,0.01328511547493129,0.07140898704528809,0.0004883253228518095,0.1,0.001,rbf,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",-0.2237974270288429,-0.2234230743220166,-0.2160621384640903,-0.21688238213064748,-0.21561297839838783,-0.21915713430355047,0.003662136443598144,26,-0.21802365920096126,-0.2179130074821478,-0.21976867008122894,-0.21953530318624195,-0.21857912507159968,-0.2187639530044359,0.0007629865096439634,0.6063302577880936
2.680634927749634,0.024236472531609595,0.09255247116088867,0.0003990174764428696,0.1,0.001,sigmoid,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True}",-0.22459359274437865,-0.22389337154773156,-0.2165227275060842,-0.216339556724411,-0.21583318926584583,-0.21943814314390978,0.003937958219045003,35,-0.21851968082866188,-0.21831114105150737,-0.22012565172464016,-0.2188830199593533,-0.21943243758414083,-0.21905438622966072,0.0006569965367735807,0.5591476721201605
2.4095597743988035,0.039355989729324324,0.0732038974761963,0.0024105027414643744,0.1,0.0001,rbf,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True}",-0.22431807683572857,-0.2240622165449452,-0.2161604608185412,-0.21663789101916203,-0.21586107176799396,-0.21940959044507619,0.003913676677656106,34,-0.21830752861160352,-0.21843911726205886,-0.21981032258220784,-0.21932972849970697,-0.21947740914294175,-0.2190728212197038,0.0005934398840306795,0.570383578557843
2.645529270172119,0.012577633986221864,0.09354982376098633,0.0014656031289943556,0.1,0.0001,sigmoid,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True}",-0.2239872412414611,-0.22400584411155386,-0.21612536184365122,-0.21654568826478718,-0.2157111587114452,-0.21927668496987918,0.0038644299585493037,30,-0.21806281631897506,-0.21838001545253227,-0.21975850971635025,-0.2191471441043592,-0.2192844593949608,-0.21892658899743553,0.000618652364291526,0.5714611028029948
2.4059690952301027,0.012208309609933703,0.07160844802856445,0.0003987075430934716,0.1,1e-05,rbf,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",-0.22295548994632622,-0.22245942860433138,-0.21494727819195,-0.21604217712543405,-0.21520356563799303,-0.21832309844757308,0.003603037168827819,17,-0.21732342688911133,-0.21712294651371047,-0.21858857252123176,-0.21836831588117595,-0.21844341362527875,-0.2179693350861016,0.0006165974621463487,0.5661473414186042
2.5936671257019044,0.011743614037773796,0.09335079193115234,0.0004885388231408646,0.1,1e-05,sigmoid,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True}",-0.22289145422676934,-0.2233796332245109,-0.21597722157133323,-0.216956198658104,-0.21612041324392514,-0.21906638613414178,0.003344224635124609,24,-0.21790066392126123,-0.21823410512822583,-0.21953513575391304,-0.21901510699206816,-0.21926750435377151,-0.21879050322984792,0.0006219079289924114,0.657326518768107
2.2615551471710207,0.010640733666565884,0.07200727462768555,0.0011632600223420028,0.1,1e-06,rbf,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True}",-0.22490778196089647,-0.22524181627702355,-0.23263168415202531,-0.22541825584479672,-0.21968991311425862,-0.22557771699921267,0.004122692368333631,50,-0.22055601098041633,-0.22067807849715051,-0.2366122887329742,-0.22652937836761305,-0.22212901337138177,-0.22530095398990718,0.006056434419586413,0.9635514752242804
2.4446661949157713,0.00473703026857329,0.09394888877868653,0.0007463401734043374,0.1,1e-06,sigmoid,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True}",-0.22387598491581356,-0.22438640013962372,-0.22011502904195923,-0.2227638841693275,-0.2202272885238059,-0.2222743570946893,0.0017955088236474722,47,-0.21984995830827384,-0.22010947834539504,-0.2237194654146414,-0.22381666328107924,-0.22227476973599958,-0.2219540670170778,0.0017040262559527165,0.8509074084093484
2.2946667194366457,0.018077420811210006,0.07140898704528809,0.0004882272535881495,0.1,1e-07,rbf,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'rbf', 'probability': True}",-0.22199192389619432,-0.22259537000656365,-0.21907412297044462,-0.21748372590304227,-0.21694047792046062,-0.21961804596569276,0.002303199977349825,39,-0.21762335930757404,-0.21794262963596517,-0.22273860831782505,-0.21920833301318401,-0.21944009926475486,-0.2193906059078606,0.001814639852303195,0.9002573971302488
2.481368350982666,0.03804510918700012,0.0931509017944336,0.0007978439758532406,0.1,1e-07,sigmoid,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'sigmoid', 'probability': True}",-0.2238275272295255,-0.22428798037636907,-0.22050661134614744,-0.22316252572598808,-0.22018078491622955,-0.22239365925030852,0.0017142431354398092,49,-0.21977967101009735,-0.22004911913908456,-0.2241409169229912,-0.22428233082822824,-0.22214002371401925,-0.2220784123228841,0.0019244334447367482,0.8698784754138636
