mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_penalty,param_random_state,param_solver,param_tol,param_multi_class,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.008577299118041993,0.0010170556694873232,0.0005985260009765625,0.0004886944566570864,0.0001,,900,l2,42,newton-cg,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001}",-0.23072734513034185,-0.23112264906652336,-0.22835891234322686,-0.2294424521077089,-0.2297329957240984,-0.22987723186154158,0.000978692665101533,3993,-0.2293757987205051,-0.22922744180624016,-0.23045419930760722,-0.23004136336999995,-0.22994985591673836,-0.22980973182421818,0.0004507739732918408,0.880967748682993
0.008577108383178711,0.001017121087950494,0.0001995563507080078,0.0003991127014160156,0.0001,,900,l2,42,newton-cg,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001}",-0.23072734578677048,-0.23112264944454933,-0.22835891825463764,-0.22944245320557186,-0.22973299692329943,-0.22987723370966892,0.0009786909090816719,4013,-0.22937579977236527,-0.22922744156516175,-0.2304542045386144,-0.23004136421402727,-0.2299498568860502,-0.2298097333952438,0.00045077547581213003,0.8809676574742973
0.010372209548950195,0.0013528454186086713,0.0,0.0,0.0001,,900,l2,42,newton-cg,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05}",-0.23072734578677048,-0.23112264944454933,-0.22835891825463764,-0.22944245320557186,-0.22973299692329943,-0.22987723370966892,0.0009786909090816719,4013,-0.22937579977236527,-0.22922744156516175,-0.2304542045386144,-0.23004136421402727,-0.2299498568860502,-0.2298097333952438,0.00045077547581213003,0.8809676574742973
0.005385303497314453,0.0010170648823819633,0.0001995086669921875,0.000399017333984375,0.0001,,900,l2,42,lbfgs,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001}",-0.23072734819529953,-0.2311226960572599,-0.22835896711429193,-0.2294424000550096,-0.22973305314057324,-0.22987725390067823,0.0009786911075655134,4094,-0.22937580244124817,-0.22922745976794898,-0.23045421330755236,-0.2300413713588987,-0.2299498706896054,-0.2298097435130507,0.0004507743591228806,0.8809497337292493
0.005585479736328125,0.0007980109596696813,0.0001995086669921875,0.000399017333984375,0.0001,,900,l2,42,lbfgs,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001}",-0.23072734819529953,-0.2311226960572599,-0.22835896711429193,-0.2294424000550096,-0.22973305314057324,-0.22987725390067823,0.0009786911075655134,4094,-0.22937580244124817,-0.22922745976794898,-0.23045421330755236,-0.2300413713588987,-0.2299498706896054,-0.2298097435130507,0.0004507743591228806,0.8809497337292493
0.005185890197753906,0.0007465313482196396,0.00019936561584472657,0.0003987312316894531,0.0001,,900,l2,42,lbfgs,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05}",-0.23072734819529953,-0.2311226960572599,-0.22835896711429193,-0.2294424000550096,-0.22973305314057324,-0.22987725390067823,0.0009786911075655134,4094,-0.22937580244124817,-0.22922745976794898,-0.23045421330755236,-0.2300413713588987,-0.2299498706896054,-0.2298097435130507,0.0004507743591228806,0.8809497337292493
0.006781911849975586,0.0009777394667736502,0.00019936561584472657,0.0003987312316894531,0.0001,,900,l2,42,sag,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001}",-0.23073771102688692,-0.23112370773718607,-0.22838240541093527,-0.2294587009679212,-0.22970705001096425,-0.22988227624805144,0.0009729317194359594,4196,-0.22939121481704822,-0.22922596350641075,-0.23047175615133494,-0.23005398862171975,-0.22992756527574115,-0.229814097674451,0.0004533583452508368,0.880460389711241
0.00917510986328125,0.0011627368353945376,0.0,0.0,0.0001,,900,l2,42,sag,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001}",-0.2307275929270693,-0.23112122501930707,-0.2283583803658824,-0.22944440691748438,-0.2297304733093481,-0.2298767766491874,0.0009784399660724419,3973,-0.22937607236223226,-0.22922627558117803,-0.2304537083742648,-0.23004281974406576,-0.2299477107239866,-0.22980931735714552,0.00045090016850025396,0.8810721119415023
0.011768150329589843,0.0003997328314677503,0.00019960403442382814,0.00039920806884765627,0.0001,,900,l2,42,sag,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05}",-0.2307273132993301,-0.2311226281584159,-0.2283589199261886,-0.22944261262012583,-0.22973290614176894,-0.22987723700547025,0.0009786678427993146,4053,-0.229375714703004,-0.22922737990885786,-0.23045420236334557,-0.23004146549459523,-0.2299497894344979,-0.22980971038086012,0.0004508133796857917,0.8809315444645297
0.007379388809204102,0.0007977010886092691,0.0001995563507080078,0.0003991127014160156,0.0001,,900,l2,42,saga,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}",-0.2307332112318788,-0.23112932987001852,-0.2283574059830557,-0.2294440078063388,-0.22973483282037035,-0.2298801196959431,0.0009816884393469003,4175,-0.22938235588131897,-0.22923548559716966,-0.230452932195611,-0.23004266100356766,-0.22995166499555914,-0.22981301993464526,0.0004473170269454808,0.8807607221970807
