Home,Away,Home Points,Away Points
76ers,Trail Blazers,126,98
Kings,Lakers,120,115
Clippers,Spurs,123,83
Rockets,Warriors,95,106
Thunder,Nuggets,95,128
Bucks,Hawks,110,127
Suns,Jazz,126,104
Raptors,76ers,107,114
Pelicans,Knicks,96,87
Timberwolves,Heat,106,90
Wizards,Grizzlies,113,106
Cavaliers,Pacers,113,125
Pistons,Bulls,118,102
Trail Blazers,Magic,97,102
Jazz,Clippers,120,118
Spurs,Rockets,114,110
Kings,Warriors,114,122
Grizzlies,Nuggets,104,108
Cavaliers,Thunder,105,108
Bulls,Raptors,94,93
Hornets,Pistons,99,111
Mavericks,Nets,125,120
Celtics,Heat,119,111
Hawks,Knicks,120,126
Bucks,76ers,118,117
Lakers,Suns,100,95
Jazz,Kings,114,130
Raptors,Timberwolves,97,94
Grizzlies,Pelicans,104,111
Clippers,Trail Blazers,123,111
Pacers,Wizards,143,120
Magic,Rockets,116,86
Heat,Pistons,103,102
Spurs,Mavericks,119,126
Bulls,Thunder,104,124
Nets,Cavaliers,113,114
Knicks,Celtics,104,108
Hornets,Hawks,116,110
Warriors,Suns,104,108
Nuggets,Lakers,119,107
