Home,Away,Home Points,Away Points,OT
Coyotes,Canadiens,3,2,False
Avalanche,Blues,4,1,False
Flames,Stars,3,4,False
Flyers,Sabres,2,5,False
Ducks,Coyotes,4,3,True
Canucks,Predators,5,2,False
Maple Leafs,Kings,1,4,False
Lightning,Kraken,3,4,True
Jets,Rangers,2,3,True
Golden Knights,Canadiens,3,2,True
Islanders,Red Wings,3,4,True
Stars,Blue Jackets,5,3,False
Flyers,Hurricanes,2,3,False
Bruins,Panthers,3,2,True
Coyotes,Blackhawks,8,1,False
Penguins,Ducks,3,4,False
Capitals,Sharks,3,1,False
Devils,Wild,4,3,False
Oilers,Flames,5,2,False
Sabres,Avalanche,4,0,False
Penguins,Senators,2,5,False
Predators,Maple Leafs,3,2,True
Canucks,Rangers,3,4,True
Canadiens,Jets,4,3,True
Kings,Golden Knights,3,4,True
Panthers,Kraken,3,2,False
Blue Jackets,Islanders,0,2,False
Bruins,Red Wings,4,1,False
Flyers,Ducks,4,7,False
Canucks,Blues,5,0,False
Capitals,Wild,3,2,True
Golden Knights,Blackhawks,3,4,True
Hurricanes,Sharks,3,0,False
Devils,Sabres,5,4,False
Coyotes,Kings,4,5,False
Lightning,Sharks,6,0,False
Islanders,Senators,3,2,False
Flyers,Wild,6,2,False
Oilers,Rangers,0,3,False
Red Wings,Jets,1,4,False
Stars,Maple Leafs,1,4,False
Canadiens,Blue Jackets,4,3,True
Penguins,Avalanche,4,0,False
Hurricanes,Kraken,3,2,True
Flames,Blues,0,3,False
Bruins,Ducks,3,4,True
Devils,Capitals,4,6,False
Capitals,Maple Leafs,1,4,False
Jets,Blues,4,2,False
Golden Knights,Flyers,3,2,False
Predators,Canucks,2,3,False
Canadiens,Devils,2,5,False
Panthers,Sharks,3,1,False
Wild,Oilers,7,4,False
Red Wings,Kraken,4,5,True
Penguins,Stars,1,4,False
Islanders,Avalanche,4,7,False
Lightning,Hurricanes,3,0,False
Flames,Rangers,1,3,False
Senators,Sabres,4,6,False
Blackhawks,Bruins,0,3,False
Kings,Coyotes,6,3,False
Blue Jackets,Ducks,2,3,True
Sabres,Canadiens,1,3,False
Red Wings,Flames,6,2,False
Ducks,Bruins,1,3,False
Lightning,Maple Leafs,3,4,True
Blues,Penguins,4,2,False
Predators,Sharks,5,1,False
Kraken,Rangers,1,4,False
Canadiens,Capitals,3,2,True
Panthers,Canucks,3,5,False
Oilers,Jets,2,3,True
Senators,Red Wings,2,5,False
Stars,Flyers,5,4,True
Wild,Blue Jackets,4,5,True
Blackhawks,Golden Knights,3,5,False
Avalanche,Hurricanes,6,4,False
Sabres,Islanders,3,1,False
Kings,Bruins,2,4,False
Coyotes,Ducks,2,1,False
Islanders,Devils,4,5,True
Blue Jackets,Flames,3,1,False
Jets,Golden Knights,3,5,False
Lightning,Canucks,4,3,False
Rangers,Predators,1,4,False
Wild,Kings,3,7,False
Panthers,Maple Leafs,3,1,False
Flyers,Oilers,4,1,False
Avalanche,Blackhawks,4,0,False
Kraken,Hurricanes,7,4,False
Sabres,Flames,3,4,False
Sharks,Bruins,1,3,False
Blues,Coyotes,2,6,False
Ducks,Stars,2,3,False
Senators,Capitals,6,1,False
Red Wings,Penguins,6,3,False
Flyers,Canucks,2,0,False
Canadiens,Wild,2,5,False
Jets,Kings,1,5,False
Predators,Oilers,1,6,False
Golden Knights,Stars,3,2,True
Kraken,Avalanche,1,4,False
Sharks,Hurricanes,3,6,False
Sabres,Lightning,3,2,True
Islanders,Coyotes,1,0,False
Devils,Panthers,3,4,False
Blue Jackets,Red Wings,0,4,False
Maple Leafs,Blackhawks,1,4,False
Capitals,Flames,3,2,True
Rangers,Coyotes,2,1,False
Senators,Lightning,5,2,False
Ducks,Hurricanes,6,3,False
Blues,Kraken,2,1,True
Senators,Flyers,5,2,False
Maple Leafs,Wild,7,4,False
Jets,Panthers,6,4,False
Oilers,Canucks,3,4,False
Red Wings,Lightning,6,4,False
Blue Jackets,Rangers,5,3,False
Sharks,Avalanche,1,2,True
Canadiens,Blackhawks,3,2,False
Kings,Hurricanes,5,6,True
Penguins,Flames,5,2,False
Islanders,Sabres,3,2,False
Bruins,Predators,3,2,False
Golden Knights,Ducks,4,1,False
Capitals,Penguins,0,4,False
Devils,Coyotes,3,4,True
Sharks,Golden Knights,1,4,False
Predators,Kraken,3,0,False
Wild,Panthers,2,0,False
Devils,Red Wings,4,3,False
Stars,Blues,2,1,True
Blue Jackets,Flyers,2,4,False
Sabres,Rangers,1,5,False
Maple Leafs,Canadiens,6,5,True
Canucks,Oilers,8,1,False
Kings,Avalanche,2,5,False
Hurricanes,Senators,5,3,False
Flames,Jets,5,3,False
Bruins,Blackhawks,3,1,False
Golden Knights,Kraken,4,1,False
Lightning,Predators,5,3,False
Penguins,Blackhawks,2,4,False
