Best parameters set found on development set:
-0.25000 (+/-0.000) for {'classification__C': 1, 'classification__gamma': 1e-05, 'classification__kernel': 'rbf', 'classification__probability': True}
-0.25000 (+/-0.000) for {'classification__C': 1, 'classification__gamma': 1e-05, 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25000 (+/-0.000) for {'classification__C': 1, 'classification__gamma': 1e-07, 'classification__kernel': 'rbf', 'classification__probability': True}
-0.25000 (+/-0.000) for {'classification__C': 10, 'classification__gamma': 1e-06, 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25000 (+/-0.000) for {'classification__C': 10, 'classification__gamma': 1e-07, 'classification__kernel': 'rbf', 'classification__probability': True}
-0.25000 (+/-0.000) for {'classification__C': 100, 'classification__gamma': 1e-07, 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25029 (+/-0.001) for {'classification__C': 0.1, 'classification__gamma': 1e-07, 'classification__kernel': 'rbf', 'classification__probability': True}
-0.25320 (+/-0.011) for {'classification__C': 1, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25602 (+/-0.026) for {'classification__C': 10, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25715 (+/-0.030) for {'classification__C': 1, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.25950 (+/-0.033) for {'classification__C': 100, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.26072 (+/-0.041) for {'classification__C': 10, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
-0.26288 (+/-0.048) for {'classification__C': 0.1, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
