Best parameters set found on development set:
-0.21753 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21754 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21755 (+/-0.007) for {'classification__max_depth': 2, 'classification__max_features': 6, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21755 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21755 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21757 (+/-0.008) for {'classification__max_depth': 5, 'classification__max_features': 3, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21757 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21758 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 83, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21758 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21758 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 59, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21758 (+/-0.007) for {'classification__max_depth': 2, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21759 (+/-0.008) for {'classification__max_features': 6, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21759 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 46, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21759 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 71, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21759 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21760 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21760 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 500, 'classification__random_state': 42}
