Best parameters set found on development set:
-0.22228 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22229 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22229 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22229 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 16, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22232 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22232 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22233 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 3, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22234 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 18, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22234 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22235 (+/-0.009) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22236 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22236 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22236 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22236 (+/-0.009) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
