Best parameters set found on development set:
0.61962 (+/-0.025) for {'classification__C': 1, 'classification__gamma': 1e-05, 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.61940 (+/-0.025) for {'classification__C': 0.1, 'classification__gamma': 1e-05, 'classification__kernel': 'rbf', 'classification__probability': True}
0.61873 (+/-0.026) for {'classification__C': 10, 'classification__gamma': 1e-07, 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.61851 (+/-0.025) for {'classification__C': 1, 'classification__gamma': 1e-07, 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.56813 (+/-0.054) for {'classification__C': 10, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.55548 (+/-0.057) for {'classification__C': 10, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.55415 (+/-0.064) for {'classification__C': 0.1, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.55038 (+/-0.062) for {'classification__C': 1, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.54749 (+/-0.061) for {'classification__C': 1, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.53972 (+/-0.041) for {'classification__C': 0.1, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.53684 (+/-0.041) for {'classification__C': 100, 'classification__gamma': 'scale', 'classification__kernel': 'sigmoid', 'classification__probability': True}
0.53395 (+/-0.041) for {'classification__C': 100, 'classification__gamma': 'auto', 'classification__kernel': 'sigmoid', 'classification__probability': True}
