Best parameters set found on development set:
0.65091 (+/-0.021) for {'classification__max_features': 4, 'classification__min_samples_leaf': 82, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65091 (+/-0.017) for {'classification__max_features': 4, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65091 (+/-0.023) for {'classification__max_features': 5, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65091 (+/-0.021) for {'classification__max_features': 5, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_split': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.014) for {'classification__max_features': 2, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65069 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 77, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65069 (+/-0.023) for {'classification__max_features': 3, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.028) for {'classification__max_features': 3, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65069 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65069 (+/-0.023) for {'classification__max_features': 4, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.026) for {'classification__max_features': 4, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65069 (+/-0.022) for {'classification__max_features': 4, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.025) for {'classification__max_depth': 5, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 58, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65047 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65047 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 71, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65047 (+/-0.024) for {'classification__max_features': 2, 'classification__min_samples_leaf': 76, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.019) for {'classification__max_features': 3, 'classification__min_samples_leaf': 57, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65047 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 63, 'classification__n_estimators': 1000, 'classification__random_state': 42}
