Best parameters set found on development set:
0.72005 (+/-0.011) for {'C': 10, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}
0.71991 (+/-0.010) for {'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}
0.70878 (+/-0.019) for {'C': 100, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}
0.70719 (+/-0.020) for {'C': 100, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}
0.61585 (+/-0.063) for {'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}
0.61510 (+/-0.060) for {'C': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}
0.59587 (+/-0.047) for {'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}
0.59406 (+/-0.043) for {'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}
0.59400 (+/-0.040) for {'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}
0.59396 (+/-0.041) for {'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}
0.59313 (+/-0.040) for {'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}
0.59270 (+/-0.042) for {'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}

