mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_penalty,param_random_state,param_solver,param_tol,param_multi_class,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.007979059219360351,0.0022743933204209085,0.0003989219665527344,0.0004885777256966609,0.0001,,900,l2,42,newton-cg,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001}",-0.23319757207452704,-0.2323644666275185,-0.23138432625129743,-0.23192131229027377,-0.23244537246439215,-0.23226279054174825,0.0006011333603725833,4014,-0.23175932862502216,-0.23211595895058462,-0.23259958139630144,-0.23243357708214302,-0.23215752064418638,-0.23221319333964754,0.0002885868600263758,0.8635457841683216
0.007978391647338868,0.0008921234488364492,0.0007977962493896484,0.00039889824938326134,0.0001,,900,l2,42,newton-cg,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001}",-0.23319757207452704,-0.23236446462763136,-0.23138432625129743,-0.2319213173651157,-0.23244537246439215,-0.2322627911567392,0.0006011327161641327,4034,-0.23175932862502216,-0.23211595708871924,-0.23259958139630144,-0.23243358090700422,-0.23215752064418638,-0.2322131937322467,0.00028858756967890386,0.8635455105727998
0.00937480926513672,0.0016205989681154932,0.0001994609832763672,0.0003989219665527344,0.0001,,900,l2,42,newton-cg,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05}",-0.23319757207452704,-0.23236446462763136,-0.23138432625129743,-0.2319213173651157,-0.23244537246439215,-0.2322627911567392,0.0006011327161641327,4034,-0.23175932862502216,-0.23211595708871924,-0.23259958139630144,-0.23243358090700422,-0.23215752064418638,-0.2322131937322467,0.00028858756967890386,0.8635455105727998
0.004388284683227539,0.0013529086789408017,0.0,0.0,0.0001,,900,l2,42,lbfgs,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001}",-0.23319758931733423,-0.23236446365004196,-0.23138432749099944,-0.23192132497667683,-0.23244538722885894,-0.2322627991335238,0.0006011377209039591,4074,-0.23175934888795058,-0.2321159525784915,-0.23259957860325245,-0.23243359006671963,-0.23215753856577642,-0.23221320174043808,0.0002885814598005995,0.8635427354386644
0.003989124298095703,1.9073486328124998e-07,0.0001995563507080078,0.0003991127014160156,0.0001,,900,l2,42,lbfgs,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001}",-0.23319758931733423,-0.23236446365004196,-0.23138432749099944,-0.23192132497667683,-0.23244538722885894,-0.2322627991335238,0.0006011377209039591,4074,-0.23175934888795058,-0.2321159525784915,-0.23259957860325245,-0.23243359006671963,-0.23215753856577642,-0.23221320174043808,0.0002885814598005995,0.8635427354386644
0.004189348220825196,0.000977067944641715,0.000598001480102539,0.0004882661716547039,0.0001,,900,l2,42,lbfgs,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05}",-0.23319758931733423,-0.23236446365004196,-0.23138432749099944,-0.23192132497667683,-0.23244538722885894,-0.2322627991335238,0.0006011377209039591,4074,-0.23175934888795058,-0.2321159525784915,-0.23259957860325245,-0.23243359006671963,-0.23215753856577642,-0.23221320174043808,0.0002885814598005995,0.8635427354386644
0.004387903213500977,0.000798261213239947,0.00039920806884765627,0.0004889284069753907,0.0001,,900,l2,42,sag,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001}",-0.23319882399157774,-0.23238739551158372,-0.23137550288014352,-0.23191751618085965,-0.23244789654218767,-0.23226560731597617,0.0006055433979955851,4196,-0.23175237322295925,-0.23212907730755297,-0.23259367098665074,-0.2324302873057007,-0.23216029885385173,-0.2322131415353431,0.0002877921228855648,0.855343817637377
0.006781959533691406,0.0011632192383830122,0.0,0.0,0.0001,,900,l2,42,sag,0.0001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001}",-0.23319828005010546,-0.23236377701950606,-0.23138286925100696,-0.2319196768686456,-0.2324453976034788,-0.2322621809226414,0.0006019437513395531,3973,-0.23175892566832748,-0.23211570591258848,-0.23259867857501157,-0.23243207773999106,-0.23215748420863586,-0.23221257442091087,0.00028826160167965813,0.8633679669524992
0.007379913330078125,0.0010165973696359691,0.0001994609832763672,0.0003989219665527344,0.0001,,900,l2,42,sag,1e-05,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05}",-0.23319761825408858,-0.23236455495045055,-0.23138427530532896,-0.23192127840599092,-0.2324453961997424,-0.23226280522865553,0.000601170908251743,4155,-0.23175908812293242,-0.23211611380583594,-0.23259954484930898,-0.23243354418768747,-0.23215755164233431,-0.23221316852161983,0.00028863609073807026,0.8634612271370589
0.005385494232177735,0.0004886361318884752,0.0001994609832763672,0.00039892196655273444,0.0001,,900,l2,42,saga,0.001,,"{'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}",-0.2331959851564658,-0.2323649035624483,-0.2313884903623814,-0.2319254605392456,-0.23244313771433858,-0.23226377622266434,0.000598831901630536,4175,-0.23175693353999874,-0.2321164452449187,-0.23260302482222525,-0.23243757634894663,-0.2321555351527451,-0.23221390302176687,0.0002909197368874795,0.863883423071705
