mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
1.2478638172149659,0.007579532465400197,0.0376986026763916,0.0003985646346213722,0.1,0.001,rbf,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",-0.2207276252545504,-0.22230837910223877,-0.21890736869995642,-0.21485566813082368,-0.216961708056567,-0.21875305403062748,0.0026443315410816333,34,-0.21746894339691003,-0.21805183122536814,-0.21901991267070053,-0.2188248639170378,-0.2186137749740874,-0.2183958652368208,0.0005654207670921139,0.5275684850172895
1.3892859935760498,0.0033375636527700455,0.049468040466308594,0.0007987023111599563,0.1,0.001,sigmoid,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True}",-0.2217337745604242,-0.22256320929921852,-0.2186527265912604,-0.21497772621508987,-0.21706734259596538,-0.21900007624421988,0.0028358039959184046,42,-0.21847811181329144,-0.21825635396240284,-0.21882755417440516,-0.21899153325782195,-0.21878794921351374,-0.21866830048428704,0.0002645859594069337,0.20986265788486536
1.2458693981170654,0.014430827625347472,0.03749947547912598,0.0004890449519456463,0.1,0.0001,rbf,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True}",-0.22148437233012291,-0.2225767576439492,-0.2179047769428248,-0.2150635658590803,-0.21653002225069382,-0.21871308852516122,0.002875747316169803,32,-0.2182774659896314,-0.2181656758822542,-0.21820299467833976,-0.21907085282757002,-0.21796228059899098,-0.21833585399535727,0.0003820475659749939,0.323445605496543
1.3473978519439698,0.008717763425411224,0.04946756362915039,0.0007975102682640999,0.1,0.0001,sigmoid,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True}",-0.22091431405665077,-0.22252173165605835,-0.21800266488450887,-0.21478027724287221,-0.21653633230266695,-0.2185521151646268,0.002826011210569934,28,-0.21779210460895396,-0.2180245521224611,-0.21818459056720008,-0.21868754506150467,-0.2181162050236266,-0.21816099947674933,0.0002947930254882524,0.18459247131156364
1.2183425426483154,0.012305722942633763,0.037899017333984375,3.371747880871523e-07,0.1,1e-05,rbf,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",-0.21912123757229143,-0.22139547284991115,-0.21733485247705403,-0.21393348055772432,-0.2155513480039484,-0.2174681354085288,0.0026207334586397795,19,-0.21661413184236084,-0.21653013137795715,-0.2174037080608524,-0.21797360874278912,-0.21723322600713632,-0.21715096120621916,0.0005331065336275542,0.5518737963489178
1.323062801361084,0.01716570708913609,0.04906907081604004,0.00039916096900201835,0.1,1e-05,sigmoid,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True}",-0.21927051772392486,-0.22371935802633694,-0.21729123434233621,-0.21476063048691654,-0.21646155971091952,-0.21830133447777783,0.003073532750576119,24,-0.21745602748442336,-0.21817521293062103,-0.2174572589447344,-0.21859665290299546,-0.2183678508953424,-0.2180106006316233,0.00047157621287199697,0.537554622894196
1.1672791481018066,0.011607148287240725,0.03829765319824219,0.0004885193544110339,0.1,1e-06,rbf,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True}",-0.2259624858543891,-0.22740257335023498,-0.22058918474461203,-0.21587153377215781,-0.2219110807284706,-0.22234834441629364,0.0040953050684271785,47,-0.22487269202950846,-0.22229677621287053,-0.2212623352318875,-0.21923832315592875,-0.22336164969661593,-0.22220635526536223,0.0019053934678539043,0.9405969493785928
1.2887543201446534,0.012948314916513609,0.04926843643188476,0.0004891423691839603,0.1,1e-06,sigmoid,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True}",-0.22286854306637618,-0.220794218761146,-0.22885841081200695,-0.2205154223935373,-0.22044145586606081,-0.22269619291384715,0.003207917439881608,49,-0.22155553822329438,-0.2165346198251568,-0.22974698393160745,-0.22364046433987247,-0.22184377132567706,-0.22266427552912163,0.0042565927105897815,0.9940172453449546
1.1638880252838135,0.009730630513867449,0.037898588180541995,3.1629798797182086e-07,0.1,1e-07,rbf,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'rbf', 'probability': True}",-0.22132648177120762,-0.22147732650450555,-0.22412887699185152,-0.21750445265782456,-0.21739741535577684,-0.22036785400951422,0.002581018176253214,44,-0.21988168088484253,-0.21754399107098782,-0.22477586180629783,-0.22101222102751794,-0.2188395141952147,-0.22041065379697217,0.002465074898337695,0.9861474497301048
1.3005231380462647,0.016448899246786965,0.04946799278259277,0.0004889672785356438,0.1,1e-07,sigmoid,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'sigmoid', 'probability': True}",-0.2226319306576662,-0.22060325650727713,-0.22935304054730718,-0.22045369719574417,-0.2204778111644824,-0.22270446441005198,0.0034246720290068903,50,-0.22118922379063574,-0.21649767373542025,-0.23020569706436486,-0.223134728381679,-0.22175394146789837,-0.22255625288799963,0.004428712761515459,0.9733029389526712
