Best parameters set found on development set:
-0.21372 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21372 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21373 (+/-0.006) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21373 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21373 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21374 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21374 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21374 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21375 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21375 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21375 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21375 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21375 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21376 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21376 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21376 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21376 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21376 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21377 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21378 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21378 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21378 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21378 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21378 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21379 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21379 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21379 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21380 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21381 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21381 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21382 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21382 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21382 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21382 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21382 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21383 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21383 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21383 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21383 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21384 (+/-0.008) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21384 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21385 (+/-0.008) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21385 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21386 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
-0.21387 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
