Best parameters set found on development set:
0.66120 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66120 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66120 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66120 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66120 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.015) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66098 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
0.66098 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
0.66098 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66098 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.011) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 34, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
0.66075 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42}
0.66075 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.017) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.014) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.017) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.019) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 34, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 45, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66053 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
0.66053 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.013) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.014) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.018) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.012) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 27, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 45, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 36, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 38, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66031 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66031 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.010) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.014) for {'max_features': 1, 'min_samples_split': 72, 'n_estimators': 500, 'random_state': 42}
0.66009 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 22, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 33, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.66009 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42}
0.66009 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
