team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
Lions,1,250,118,21,Away,g1
Chiefs,1,226,90,20,Home,g1
Raiders,1,200,61,17,Away,g2
Broncos,1,166,94,16,Home,g2
Packers,1,237,92,38,Away,g3
Bears,1,189,122,20,Home,g3
Texans,1,196,72,9,Away,g4
Ravens,1,155,110,25,Home,g4
Bengals,1,67,75,3,Away,g5
Browns,1,144,206,24,Home,g5
Buccaneers,1,169,73,20,Away,g6
Vikings,1,328,41,17,Home,g6
Titans,1,181,104,15,Away,g7
Saints,1,282,69,16,Home,g7
Panthers,1,127,154,10,Away,g8
Falcons,1,91,130,24,Home,g8
Jaguars,1,237,105,31,Away,g9
Colts,1,215,65,21,Home,g9
49ers,1,203,188,30,Away,g10
Steelers,1,198,41,7,Home,g10
Cardinals,1,115,96,16,Away,g11
Commanders,1,156,92,20,Home,g11
Dolphins,1,466,70,36,Away,g12
Chargers,1,199,234,34,Home,g12
Eagles,1,154,97,25,Away,g13
Patriots,1,306,76,20,Home,g13
Rams,1,334,92,30,Away,g14
Seahawks,1,95,85,13,Home,g14
Cowboys,1,143,122,40,Away,g15
Giants,1,63,108,0,Home,g15
Bills,1,217,97,16,Away,g16
Jets,1,117,172,22,Home,g16
Vikings,2,346,28,28,Away,g17
Eagles,2,171,259,34,Home,g17
Bears,2,169,67,17,Away,g18
Buccaneers,2,317,120,27,Home,g18
Commanders,2,266,122,35,Away,g19
Broncos,2,277,122,33,Home,g19
Packers,2,140,84,24,Away,g20
Falcons,2,235,211,25,Home,g20
Raiders,2,185,55,10,Away,g21
Bills,2,267,183,38,Home,g21
Ravens,2,237,178,27,Away,g22
Bengals,2,216,66,24,Home,g22
Seahawks,2,311,82,37,Away,g23
Lions,2,316,102,31,Home,g23
Chargers,2,281,61,24,Away,g24
Titans,2,200,141,27,Home,g24
Chiefs,2,298,101,17,Away,g25
Jaguars,2,197,74,9,Home,g25
Colts,2,227,126,31,Away,g26
