team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
Jaguars,6,136,243,27,Away,g85
Colts,6,389,45,34,Home,g85
Vikings,6,156,78,24,Away,g86
Dolphins,6,385,73,16,Home,g86
Bengals,6,273,75,30,Away,g87
Saints,6,171,228,26,Home,g87
Ravens,6,195,211,20,Away,g88
Giants,6,155,83,24,Home,g88
Buccaneers,6,229,75,18,Away,g89
Steelers,6,193,77,20,Home,g89
Panthers,6,110,93,10,Away,g90
Rams,6,249,111,24,Home,g90
Cardinals,6,171,144,9,Away,g91
Seahawks,6,160,136,19,Home,g91
Bills,6,318,125,24,Away,g92
Chiefs,6,319,68,20,Home,g92
Cowboys,6,181,134,17,Away,g93
Eagles,6,132,136,26,Home,g93
Broncos,6,160,98,16,Away,g94
Chargers,6,224,73,19,Home,g94
Saints,7,409,85,34,Away,g95
Cardinals,7,189,137,42,Home,g95
Falcons,7,107,107,17,Away,g96
Bengals,7,459,78,35,Home,g96
Lions,7,195,117,6,Away,g97
Cowboys,7,191,139,24,Home,g97
Colts,7,227,65,10,Away,g98
Titans,7,116,138,19,Home,g98
Packers,7,194,38,21,Away,g99
Commanders,7,198,166,23,Home,g99
Buccaneers,7,276,46,3,Away,g100
Panthers,7,170,173,21,Home,g100
Giants,7,200,236,23,Away,g101
Jaguars,7,310,142,17,Home,g101
Browns,7,223,113,20,Away,g102
Ravens,7,94,160,23,Home,g102
Jets,7,105,155,16,Away,g103
Broncos,7,219,105,9,Home,g103
Texans,7,296,108,20,Away,g104
Raiders,7,236,164,38,Home,g104
Seahawks,7,191,213,37,Away,g105
Chargers,7,276,53,23,Home,g105
Chiefs,7,417,112,44,Away,g106
49ers,7,343,101,23,Home,g106
Steelers,7,246,95,10,Away,g107
Dolphins,7,261,111,16,Home,g107
Bears,7,147,243,33,Away,g108
Patriots,7,190,70,14,Home,g108
Ravens,8,222,231,27,Away,g109
Buccaneers,8,305,44,22,Home,g109
Broncos,8,230,101,21,Away,g110
Jaguars,8,114,191,17,Home,g110
Panthers,8,309,169,34,Away,g111
Falcons,8,239,167,37,Home,g111
Bears,8,131,240,29,Away,g112
Cowboys,8,242,200,49,Home,g112
Dolphins,8,369,107,31,Away,g113
Lions,8,311,82,27,Home,g113
Cardinals,8,297,78,26,Away,g114
Vikings,8,208,173,34,Home,g114
Raiders,8,145,38,0,Away,g115
Saints,8,231,136,24,Home,g115
Patriots,8,161,127,22,Away,g116
Jets,8,336,51,17,Home,g116
Steelers,8,158,144,13,Away,g117
Eagles,8,290,111,35,Home,g117
Titans,8,40,314,17,Away,g118
Texans,8,118,43,10,Home,g118
Commanders,8,266,96,17,Away,g119
Colts,8,189,135,16,Home,g119
49ers,8,257,111,31,Away,g120
Rams,8,167,56,14,Home,g120
Giants,8,147,78,13,Away,g121
Seahawks,8,190,87,27,Home,g121
Packers,8,190,208,17,Away,g122
Bills,8,216,153,27,Home,g122
Bengals,8,193,36,13,Away,g123
Browns,8,268,172,32,Home,g123
Eagles,9,217,143,29,Away,g124
Texans,9,135,168,17,Home,g124
Chargers,9,245,91,20,Away,g125
Falcons,9,114,201,17,Home,g125
Dolphins,9,302,77,35,Away,g126
Bears,9,116,252,32,Home,g126
Panthers,9,164,64,21,Away,g127
Bengals,9,223,241,42,Home,g127
Packers,9,283,106,9,Away,g128
Lions,9,137,117,15,Home,g128
Colts,9,43,78,3,Away,g129
Patriots,9,133,70,26,Home,g129
Bills,9,183,134,17,Away,g130
Jets,9,136,174,20,Home,g130
Vikings,9,245,56,20,Away,g131
Commanders,9,126,137,17,Home,g131
Raiders,9,248,73,20,Away,g132
Jaguars,9,235,168,27,Home,g132
Seahawks,9,263,158,31,Away,g133
Cardinals,9,140,122,21,Home,g133
Rams,9,138,68,13,Away,g134
Buccaneers,9,272,51,16,Home,g134
Titans,9,57,172,17,Away,g135
Chiefs,9,422,77,20,Home,g135
Ravens,9,131,188,27,Away,g136
Saints,9,185,48,13,Home,g136
Falcons,10,153,138,15,Away,g137
Panthers,10,101,232,25,Home,g137
Seahawks,10,244,39,16,Away,g138
Buccaneers,10,258,161,21,Home,g138
Vikings,10,334,147,33,Away,g139
Bills,10,311,175,30,Home,g139
Lions,10,228,95,31,Away,g140
Bears,10,150,258,30,Home,g140
Broncos,10,248,65,10,Away,g141
Titans,10,244,63,17,Home,g141
Jaguars,10,240,75,17,Away,g142
Chiefs,10,331,155,27,Home,g142
Browns,10,185,112,17,Away,g143
Dolphins,10,296,195,39,Home,g143
Texans,10,286,101,16,Away,g144
Giants,10,176,191,24,Home,g144
Saints,10,157,29,10,Away,g145
Steelers,10,162,217,20,Home,g145
Colts,10,208,207,25,Away,g146
Raiders,10,232,77,20,Home,g146
Cowboys,10,262,159,28,Away,g147
Packers,10,208,207,31,Home,g147
Cardinals,10,220,78,27,Away,g148
Rams,10,190,66,17,Home,g148
Chargers,10,187,51,16,Away,g149
