mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.0029919624328613283,4.1019083342755444e-07,0.03331127166748047,0.000797796285014921,auto,1,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6565961732124874,0.6687054026503567,0.6552072800808898,0.6473629782833505,0.6346555323590815,0.6525064599790507,0.011237480096769649,4021,0.8224155578300921,0.8139175257731959,0.812709894084216,0.820066547222933,0.8192584963954685,0.8176736042611811,0.003727485132741499,0.0
0.0029911041259765626,6.325959759436417e-07,0.01894974708557129,0.0010926235447355375,auto,1,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.651776649746193,0.6659856996935649,0.6491405460060667,0.6514522821576763,0.6380753138075314,0.6512862166014212,0.008892464940094403,4051,1.0,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.999789529071297,0.00010523546435150522,0.0
0.003989076614379883,5.560829062314321e-07,0.05704751014709473,0.0014653437041902476,auto,1,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6427840327533265,0.6748466257668713,0.65439672801636,0.6605504587155963,0.6431535269709544,0.6551432927172479,0.011954361555219433,3961,0.8218125960061445,0.810755441741357,0.8145077720207253,0.818650180319423,0.816242611153945,0.816393720248319,0.0037369946676138414,0.0
0.0037903785705566406,0.0007464807202935442,0.04228668212890625,0.0004889671157828315,auto,1,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6391752577319588,0.6714431934493346,0.6461538461538461,0.6646216768916156,0.6487046632124353,0.6540161470561554,0.012054453465628284,3991,1.0,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.999789529071297,0.00010523546435150522,0.0
0.0029918670654296873,3.504023183989303e-07,0.03809857368469238,0.002393722567425306,auto,1,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6545820745216516,0.6886886886886887,0.6593625498007969,0.6673490276356193,0.6618257261410788,0.6663587721759858,0.011897802825306296,3901,0.782520838595605,0.7714432460195172,0.7828077314343845,0.7833797821129972,0.7798000512689054,0.7799903298862818,0.004447886257226829,5.880928854046114e-144
0.00299224853515625,4.156969970265077e-07,0.022539615631103516,0.0004880326399975998,auto,1,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6538071065989849,0.6914572864321609,0.6487562189054725,0.6741344195519349,0.6583850931677019,0.6653052509519137,0.015593047989899621,3931,1.0,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.999789529071297,0.00010523546435150522,0.0
0.0035905361175537108,0.0004886751662834906,0.06622276306152344,0.001017036758312056,auto,1,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6787512588116819,0.704,0.6838966202783301,0.6720977596741343,0.6605128205128205,0.6798514264349775,0.01438457825120432,3841,0.7806973218797373,0.7668367346938776,0.7801166624397666,0.7829635297118084,0.7766793409378961,0.7774587179326172,0.005679615016489678,3.407174671850539e-66
0.0035903453826904297,0.0004886166205017064,0.05186142921447754,0.0006309019195696123,auto,1,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6761421319796954,0.7034068136272547,0.6739562624254473,0.6734486266531028,0.6639344262295082,0.6781771612229911,0.013292848286459808,3871,1.0,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.999789529071297,0.00010523546435150522,0.0
0.002593326568603516,0.0004885582259392625,0.0402921199798584,0.0013528313190842405,auto,1,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6720321931589538,0.6940822467402208,0.6845238095238095,0.6861167002012072,0.6714579055441479,0.6816402530457578,0.008708290068631917,3786,0.7624337288563493,0.7586906876427303,0.7664215064671569,0.7567293042153377,0.7579001019367991,0.7604350658236747,0.0035505969002368708,4.1041975384060965e-109
0.002992105484008789,0.000630977215934233,0.024933338165283203,0.0006306757025398649,auto,1,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6693629929221436,0.6922300706357215,0.6772591857000994,0.6908358509566969,0.676923076923077,0.6813193509021,0.008814226760920398,3819,1.0,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.9997369113391212,0.999789529071297,0.00010523546435150522,0.0
0.003989076614379883,0.0006310527447213386,0.07380270957946777,2.132480599880018e-07,auto,1,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6891089108910892,0.7104477611940299,0.6767371601208458,0.692929292929293,0.6632653061224489,0.6864983160693512,0.015852486178622748,3661,0.767686904164576,0.7579425113464447,0.7652217489351039,0.7610887096774194,0.7631975867269986,0.7630274921701085,0.0033517077012825804,2.1617779044519133e-115
