mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.0009975433349609375,6.91002690610382e-07,0.004787063598632813,0.008588643582383445,1000,{'var_smoothing': 1000},-0.24438871414709387,-0.24444512837935023,-0.2444086464716676,-0.244432102913362,-0.24444715719345894,-0.24442434122579265,2.2492011192698692e-05,4,-0.2444317943007403,-0.24441940517353072,-0.24442283312636298,-0.244425706146175,-0.2444196554135497,-0.24442387883207176,4.581224863683652e-06,0.9196041748546786
0.0009972572326660157,4.1019083342755444e-07,0.0005986213684082032,0.0004887724013674795,100,{'var_smoothing': 100},-0.24255394204640862,-0.2424559852576434,-0.2420983449048981,-0.2423185273141539,-0.24246623339663415,-0.24237864887421834,0.00015910443633789155,3,-0.2423202437340405,-0.24236173188671523,-0.24239714332438547,-0.24242507277410033,-0.2423665392114106,-0.24237414618613046,3.532659328563041e-05,0.8985772150395541
0.0011971950531005859,0.0003994227985563266,0.00039873123168945315,0.0004883442405959042,10,{'var_smoothing': 10},-0.2292318981327223,-0.2287096014646552,-0.22584485950877017,-0.2268197168235378,-0.2280285183888857,-0.22772728185919638,0.0012399701410176238,1,-0.22721851141345667,-0.22746921506183515,-0.22788987075558526,-0.22810483106988697,-0.2276925869490894,-0.2276750030499707,0.0003104714999472742,0.8662802413991773
0.000997447967529297,1.7429034121033731e-06,0.0003989696502685547,0.0004886360853561638,1,{'var_smoothing': 1},-0.23268288535082443,-0.2392454122127515,-0.23230608967339764,-0.22631402419996174,-0.2299844814483309,-0.23210671758013424,0.004227781965630417,2,-0.23184590031220775,-0.23039227107589408,-0.2319330878519498,-0.23253907426515436,-0.2322327236976515,-0.23178861144057153,0.0007395068641000089,0.6670793877583763
0.001196575164794922,0.00039889827788347005,0.0009979248046875,0.0006306759837484585,0.1,{'var_smoothing': 0.1},-0.26374918937878217,-0.27330171103738127,-0.2648433594811175,-0.2549640608872146,-0.2603774013347731,-0.2634472172759895,0.006008256391284703,5,-0.2633641552408947,-0.26158378915525304,-0.2623702834865027,-0.26376989209436685,-0.263441071553281,-0.2629058383060596,0.0008096605353695905,0.5037192006194955
0.0009972095489501954,5.135693366178993e-07,0.000399017333984375,0.0004886944566570864,0.01,{'var_smoothing': 0.01},-0.26901824132034463,-0.27900313825103246,-0.2702874407441639,-0.25969505023870165,-0.2656775880864369,-0.26873635973334387,0.00630786035626733,6,-0.2686554141662936,-0.26687069739068053,-0.2674660320865375,-0.26910675387638683,-0.26867873611420584,-0.26815552672682086,0.0008431675856255443,0.49090496653198135
0.0007976531982421875,0.000398826713142397,0.0003990650177001953,0.0004887528861164533,0.001,{'var_smoothing': 0.001},-0.26957345735204585,-0.27960712714544644,-0.27086342989212536,-0.2601913817890579,-0.26624033175771056,-0.2692952127150545,0.006340913690732114,7,-0.26921445565874647,-0.2674293638953042,-0.26800363350303674,-0.2696719205854085,-0.2692318120541725,-0.2687102371393337,0.0008474711468434766,0.49003059227623
0.0009973526000976562,1.784161275279017e-07,0.0001994609832763672,0.00039892196655273444,0.0001,{'var_smoothing': 0.0001},-0.269629267763843,-0.2796678806249136,-0.270921357819227,-0.26024125069762377,-0.26629694654872077,-0.2693514077258567,0.00634425406056817,8,-0.2692706698156391,-0.26748554068100766,-0.2680576828863387,-0.26972876411892294,-0.2692874230802218,-0.26876601611642603,0.000847912448297788,0.48994797436453885
0.0009972095489501954,1.9073486328124998e-07,0.00039925575256347654,0.00048898672013184,1e-05,{'var_smoothing': 1e-05},-0.2696348516983933,-0.27967395953565266,-0.27092715391562905,-0.2602462399491246,-0.26630261144552586,-0.26935703033452585,0.006344588452427071,9,-0.2692762943424557,-0.2674911614715391,-0.26806309072615797,-0.26973445175322425,-0.26929298722771755,-0.2687715971042189,0.0008479566893970579,0.4899397615309029
0.0009974002838134765,4.90933901833868e-07,0.0005982398986816406,0.000488460901671617,1e-06,{'var_smoothing': 1e-06},-0.2696354101207873,-0.27967456746237146,-0.2709277335583198,-0.26024673889788424,-0.26630317796939695,-0.2693575926264791,0.006344621895166251,10,-0.2692768568262597,-0.2674917235817226,-0.26806363153916385,-0.2697350205494763,-0.26929354367292657,-0.2687721552339098,0.0008479611146180196,0.48993894073790467
0.0009973526000976562,2.78041453115716e-07,0.00039930343627929686,0.0004890450449324577,1e-07,{'var_smoothing': 1e-07},-0.26963546596331606,-0.27967462825539985,-0.27092779152291935,-0.26024678879299623,-0.26630323462212596,-0.26935764885598534,0.006344625239475743,11,-0.26927691307495133,-0.2674917797930522,-0.26806368562075467,-0.2697350774294297,-0.26929359931775215,-0.268772211047188,0.0008479615571512409,0.4899388586635067
0.0009974002838134765,5.56082906231432e-07,0.000399017333984375,0.0004886944333937081,1e-08,{'var_smoothing': 1e-08},-0.2696354715475719,-0.27967463433470624,-0.2709277973193826,-0.26024679378250987,-0.2663032402874023,-0.2693576544789391,0.006344625573907018,12,-0.2692769186998236,-0.26749178541418833,-0.26806369102891664,-0.2697350831174283,-0.26929360488223775,-0.2687722166285189,0.0008479616014046541,0.4899388504560651
0.0007979393005371094,0.00039896966451610907,0.0003989696502685547,0.0004886360388238481,1e-09,{'var_smoothing': 1e-09},-0.2696354721059975,-0.2796746349426369,-0.27092779789902893,-0.2602467942814612,-0.26630324085393,-0.2693576550412345,0.0063446256073501585,13,-0.26927691926231084,-0.2674917859763019,-0.2680636915697329,-0.2697350836862282,-0.2692936054386863,-0.26877221718665206,0.0008479616058300121,0.4899388496353748
0.000997304916381836,7.979011788693195e-07,0.0003989219665527344,0.0004885776326209085,1e-10,{'var_smoothing': 1e-10},-0.26963547216184003,-0.27967463500343,-0.2709277979569936,-0.2602467943313564,-0.2663032409105828,-0.26935765509746407,0.0063446256106944625,14,-0.26927691931855957,-0.26749178603251333,-0.26806369162381455,-0.26973508374310823,-0.2692936054943312,-0.26877221724246536,0.0008479616062725324,0.48993884955325673
0.0011967658996582032,0.00039868430363519946,0.00039887428283691406,0.0004885192380524391,1e-11,{'var_smoothing': 1e-11},-0.2696354721674243,-0.27967463500950934,-0.2709277979627901,-0.2602467943363459,-0.266303240916248,-0.26935765510308707,0.006344625611028916,15,-0.26927691932418446,-0.26749178603813445,-0.26806369162922267,-0.2697350837487962,-0.2692936054998956,-0.2687722172480467,0.0008479616063167848,0.4899388495449998
0.001197052001953125,0.00039961350489739006,0.00019969940185546876,0.0003993988037109375,1e-12,{'var_smoothing': 1e-12},-0.26963547216798267,-0.2796746350101172,-0.2709277979633697,-0.2602467943368448,-0.26630324091681457,-0.2693576551036493,0.006344625611062348,16,-0.2692769193247469,-0.26749178603869656,-0.26806369162976346,-0.269735083749365,-0.2692936055004521,-0.26877221724860484,0.0008479616063212226,0.4899388495442669
0.000997447967529297,1.9073486328125e-07,0.0005981922149658203,0.0004884221387794996,1e-13,{'var_smoothing': 1e-13},-0.2696354721680385,-0.279674635010178,-0.27092779796342764,-0.2602467943368947,-0.2663032409168712,-0.26935765510370546,0.00634462561106569,17,-0.2692769193248032,-0.26749178603875273,-0.2680636916298176,-0.2697350837494219,-0.26929360550050774,-0.2687722172486606,0.0008479616063216747,0.4899388495442103
0.0009974002838134765,1.9073486328124998e-07,0.0005982398986816406,0.0004884610413186034,1e-14,{'var_smoothing': 1e-14},-0.2696354721680441,-0.2796746350101841,-0.2709277979634335,-0.26024679433689973,-0.26630324091687685,-0.2693576551037111,0.006344625611066019,18,-0.2692769193248088,-0.2674917860387584,-0.26806369162982296,-0.26973508374942756,-0.2692936055005133,-0.2687722172486662,0.0008479616063217008,0.48993884954414135
0.0009969711303710938,3.8738433859996607e-07,0.0005989551544189453,0.0004890449054522339,1e-15,{'var_smoothing': 1e-15},-0.2696354721680447,-0.2796746350101847,-0.2709277979634341,-0.2602467943369002,-0.2663032409168774,-0.2693576551037117,0.00634462561106607,19,-0.26927691932480935,-0.2674917860387589,-0.2680636916298235,-0.2697350837494281,-0.2692936055005139,-0.26877221724866673,0.0008479616063217244,0.48993884954415345
0.0009967803955078125,7.599533772711385e-07,0.0005991458892822266,0.0004892005778222765,1e-16,{'var_smoothing': 1e-16},-0.26963547216804473,-0.2796746350101848,-0.27092779796343414,-0.26024679433690023,-0.2663032409168775,-0.26935765510371174,0.006344625611066083,20,-0.2692769193248094,-0.267491786038759,-0.2680636916298236,-0.2697350837494282,-0.26929360550051396,-0.2687722172486668,0.0008479616063217076,0.4899388495441448
0.0009975910186767578,4.862803948967729e-07,0.0005982398986816406,0.0004884608551226126,1e-17,{'var_smoothing': 1e-17},-0.26963547216804473,-0.27967463501018475,-0.27092779796343414,-0.26024679433690023,-0.2663032409168775,-0.26935765510371174,0.0063446256110660645,20,-0.26927691932480946,-0.267491786038759,-0.2680636916298236,-0.2697350837494282,-0.26929360550051396,-0.26877221724866684,0.0008479616063217142,0.4899388495441894
