mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.000997781753540039,6.03156597169567e-07,0.0005984783172607421,0.0004886557169448958,1000,{'var_smoothing': 1000},0.7289433384379786,0.7285276073619632,0.7285276073619632,0.7285276073619632,0.7285276073619632,0.7286108337954152,0.0001663525638721494,2,0.7285276073619632,0.7286316596397087,0.7286316596397087,0.7286316596397087,0.7286316596397087,0.7286108491841595,4.1620911098183556e-05,0.9997049934548157
0.000997781753540039,1.0227017683757409e-06,0.0009969234466552734,4.422005889652111e-07,100,{'var_smoothing': 100},0.7289433384379786,0.7285276073619632,0.7285276073619632,0.7285276073619632,0.7285276073619632,0.7286108337954152,0.0001663525638721494,2,0.7285276073619632,0.7286316596397087,0.7286316596397087,0.7286316596397087,0.7286316596397087,0.7286108491841595,4.1620911098183556e-05,0.9997049934548157
0.0011972904205322266,0.0003997326608234803,0.0007984161376953125,0.00039920997687520354,10,{'var_smoothing': 10},0.7442650807136788,0.7309304274937134,0.7380136986301369,0.7372881355932204,0.7332214765100672,0.7367455779022312,0.004576540780681311,1,0.736261404625504,0.7376842105263157,0.7375105842506351,0.7379339542760373,0.737868192413647,0.7374516692184278,0.0006132481864646828,0.24956948790179256
0.0011967182159423827,0.000398946018574579,0.0005983352661132812,0.0004885387998700752,1,{'var_smoothing': 1},0.6951983298538622,0.6856561546286878,0.6942148760330579,0.7130977130977131,0.695742471443406,0.6967815270578583,0.008945078985984267,4,0.6944083224967491,0.7041025641025641,0.6983471074380164,0.691908713692946,0.6978305785123967,0.6973194572485346,0.004125013934979916,0.8962445248756917
0.0015957355499267578,0.0004887143790077492,0.00039882659912109374,0.0004884608318481088,0.1,{'var_smoothing': 0.1},0.6839266450916935,0.6757038581856101,0.6821541710665259,0.7161016949152542,0.6844919786096257,0.6884745723657144,0.014160679867905085,5,0.6858054226475279,0.6939313984168864,0.69089944282303,0.67821914156225,0.6878643349231585,0.6873439480745704,0.005327963997024135,0.8319465656754494
0.000997161865234375,1.9073486328125e-07,0.0009975910186767578,5.091227651611e-07,0.01,{'var_smoothing': 0.01},0.6818181818181819,0.6729559748427673,0.6780021253985122,0.7147401908801697,0.6844919786096257,0.6864005847844072,0.014688983501865153,6,0.6837333333333334,0.6932628797886393,0.6912858660998937,0.6775226908702615,0.6865037194473963,0.6864616979079049,0.005601433023789945,0.991295040012367
0.0009972095489501954,3.2340669551493016e-07,0.000997447967529297,8.341243593471481e-07,0.001,{'var_smoothing': 0.001},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.6868525896414343,0.6864642982223653,0.005770218663853846,0.9140990198403892
0.0009974002838134765,4.90933901833868e-07,0.0007977008819580079,0.0003988504516678635,0.0001,{'var_smoothing': 0.0001},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.6865037194473963,0.6863945241835577,0.00576721005110511,0.9236574884972901
0.0009972572326660157,3.1629798797182086e-07,0.0009975433349609375,3.9895058943465975e-07,1e-05,{'var_smoothing': 1e-05},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.686686154663832,0.6864310112268448,0.005768362455282783,0.918650442124329
0.0009976863861083985,9.246215548355731e-07,0.0005981922149658203,0.0004884220456740979,1e-06,{'var_smoothing': 1e-06},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.686686154663832,0.6864310112268448,0.005768362455282783,0.918650442124329
0.0009974956512451172,1.784161275279017e-07,0.000997304916381836,2.611744678045111e-07,1e-07,{'var_smoothing': 1e-07},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.686686154663832,0.6864310112268448,0.005768362455282783,0.918650442124329
0.0009971141815185546,4.862803948967729e-07,0.0005984783172607421,0.0004886555308230838,1e-08,{'var_smoothing': 1e-08},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.686686154663832,0.6864310112268448,0.005768362455282783,0.918650442124329
0.000997304916381836,2.132480599880018e-07,0.000997161865234375,6.14361702286011e-07,1e-09,{'var_smoothing': 1e-09},0.6803900325027086,0.6729559748427673,0.6780021253985122,0.7133757961783439,0.6844919786096257,0.6858418662268442,0.014261558304046639,7,0.6830309498399146,0.6936293946603225,0.6912858660998937,0.6775226908702615,0.686686154663832,0.6864310112268448,0.005768362455282783,0.918650442124329
