Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72720 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72720 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72717 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72716 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72715 (+/-0.015) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72713 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72713 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72712 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72712 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72710 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72708 (+/-0.020) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.007
0.72707 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72706 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72706 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72705 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72705 (+/-0.012) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42} probability 0.008
0.72704 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72704 (+/-0.020) for {'max_features': 2, 'min_samples_leaf': 45, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72701 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72697 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72696 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72695 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72693 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72693 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72692 (+/-0.013) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.023
0.72691 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72690 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72688 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72687 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72685 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 41, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72685 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72684 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72683 (+/-0.019) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.000
