mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,param_min_samples_split,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.39115376472473146,0.0021294327671923714,0.03809762001037598,0.0007464166309289618,1,1,500,42,,,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}",-0.22654393222427108,-0.2276923712495911,-0.22506772747800213,-0.22460645246445068,-0.22633944848684787,-0.22605010551855914,0.001102057236996443,2985,-0.22385363496836738,-0.22374810459418246,-0.2245888539687025,-0.22475687365914343,-0.22428982047099136,-0.22424745753227743,0.0003955503771506603,5.181149213777082e-06
0.7709373474121094,0.007108303264151984,0.07300477027893067,0.0011630638083863633,1,1,1000,42,,,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}",-0.22618414767902054,-0.2273706461279264,-0.22491014834753603,-0.2243266288160577,-0.22594455472752964,-0.22574733052372872,0.0010566939712345208,2967,-0.22364817882204424,-0.22349284967906444,-0.2242881374691829,-0.2244530208241347,-0.22400902179405588,-0.2239782417176964,0.00036522457092972953,1.2735451763368738e-06
0.44899835586547854,0.003115237591039119,0.036502408981323245,0.0007980108314531939,1,2,500,42,,,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}",-0.22351055241948406,-0.2251560934362015,-0.2230327649784197,-0.2202307483665297,-0.22248938722900258,-0.22288406042995393,0.0015981216298965738,2794,-0.2203099701424111,-0.22009794377450437,-0.22099151104533699,-0.2215140983286709,-0.22099100989187853,-0.2207809066365604,0.0005126962267738371,4.0933922681377655e-05
0.8890222549438477,0.0071525875402450164,0.07320432662963867,0.0010173829432274296,1,2,1000,42,,,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}",-0.22344302890730483,-0.22511442618666905,-0.22313314677094634,-0.22024181002483464,-0.2222781256874488,-0.22284225245547737,0.0015928741273615427,2791,-0.22043892312572883,-0.22015168716180686,-0.2209819832385344,-0.221532228690049,-0.22099623711513572,-0.22082021186625095,0.00048092186612959744,2.616488668726203e-05
0.5088387489318847,0.0047788669396410886,0.036901092529296874,0.0006306003052712033,1,3,500,42,,,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}",-0.22182288373580572,-0.22410895190253746,-0.2211658005555416,-0.2175686068708462,-0.21994180750563097,-0.22092182749796568,0.0021554159774293323,2606,-0.21843032474465862,-0.21819423463755963,-0.21922882588955084,-0.2197060441690794,-0.21922188106673135,-0.21895626210151597,0.0005593413199883468,0.0004412939981293627
1.0172789573669434,0.0067047979139655,0.07260584831237793,0.0011629901981124499,1,3,1000,42,,,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}",-0.22194352443006687,-0.224048014517246,-0.22148608897964206,-0.21782137267137225,-0.22002472474352042,-0.22106495702672985,0.0020710646774885983,2621,-0.21865483317778436,-0.21832483974137232,-0.21934402886143478,-0.21984274929089787,-0.2193245369160649,-0.21909819759751087,0.0005404949775718578,0.0002738990098947062
0.5688778400421143,0.0038673501768072775,0.0365027904510498,0.0004890647344915596,1,4,500,42,,,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}",-0.22097646901104867,-0.22358026688668106,-0.21979418493768826,-0.21568455802135814,-0.21800994113535693,-0.21960941380667856,0.0026693489608595813,2424,-0.21706154361122384,-0.21701543094890305,-0.21823783927463025,-0.21833018006181387,-0.2179918217892717,-0.21772736313716856,0.0005734240301987034,0.0010302707823707214
1.1411473751068115,0.002705841896625667,0.0730048656463623,0.0003986837333247157,1,4,1000,42,,,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}",-0.22109313489721683,-0.22351610450577264,-0.22008277196774723,-0.21596357457209447,-0.218197344416992,-0.21977090506589256,0.0025627374704719225,2454,-0.21731854333340545,-0.21711730432366214,-0.21832462044747725,-0.21850461204882488,-0.21813756156933414,-0.21788052834454077,0.0005569743985639043,0.0006887715807147351
0.6366969585418701,0.006036959680935743,0.03650212287902832,0.0007978082892161677,1,5,500,42,,,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}",-0.22074938714279835,-0.2235304802489931,-0.21906283749493358,-0.21468370997571432,-0.2172171091935138,-0.219049115009534,0.003012616595140987,2306,-0.21641149133636836,-0.21658244887690403,-0.2179036307993909,-0.2176127210480126,-0.21744834410899821,-0.21719172723393484,0.0005881977338898231,0.0015898592696995109
1.2640191078186036,0.006263495045355118,0.07240614891052247,0.0007976773589938802,1,5,1000,42,,,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}",-0.22080845270911575,-0.22336632761746397,-0.21918588873712236,-0.2148487194888569,-0.21733025922838484,-0.21910833971613883,0.002909504045183037,2320,-0.21657878414875525,-0.21657020519835304,-0.21790449863016828,-0.21770017707565514,-0.2175213885175112,-0.21725501071408856,0.0005687188653112449,0.0011189285898253263
