mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,param_min_samples_split,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.41289610862731935,0.003732197831468352,0.038496971130371094,0.00048813023597502904,1,1,500,42,,,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}",-0.22662629926469913,-0.2272740016576839,-0.22555633551710202,-0.225008718238196,-0.22577806650514023,-0.22604888789388947,0.0008040553218486682,2993,-0.22399440420851977,-0.2241293150917465,-0.2245597395276552,-0.22470281912292625,-0.22451945119608904,-0.22438114582938734,0.0002711035200906352,7.666651503387705e-10
0.9135577201843261,0.05326921566241609,0.08317766189575196,0.007345091642028902,1,1,1000,42,,,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}",-0.22630815877682373,-0.2270929724609721,-0.22532614126903794,-0.2246980685064173,-0.22534883106188522,-0.22575506474581117,0.0008440759916854961,2979,-0.223747894230207,-0.22378549531200526,-0.2242318858689737,-0.22445141936883395,-0.22425880453910554,-0.2240950998638251,0.00027888347103643594,2.645926036328756e-09
0.49208431243896483,0.004212449402797323,0.040092849731445314,0.0011630884131826667,1,2,500,42,,,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}",-0.22245272099256047,-0.22493244815821217,-0.2228050467601995,-0.21969030367801942,-0.22163340427315012,-0.22230298148712688,0.0017007347890456142,2782,-0.22020572720309825,-0.2198850842844627,-0.2204427315186353,-0.2211860893989638,-0.22060245989297347,-0.22046441845962672,0.000434254293733731,2.297348256289342e-05
1.0142888069152831,0.03048639908013702,0.07739310264587403,0.0026462711774650773,1,2,1000,42,,,"{'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}",-0.2224020080268972,-0.22479771191240952,-0.2229229639801259,-0.21981524407636305,-0.22160070783816385,-0.22230791955579277,0.001630900851175383,2784,-0.22030322045863385,-0.21985237848389905,-0.22044179626846966,-0.2212242985179292,-0.22064753486265604,-0.22049384571831757,0.0004489340693775608,5.3258522965514674e-05
0.5591057777404785,0.022028302586761146,0.03789806365966797,0.0010924494249800914,1,3,500,42,,,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}",-0.22063096061457602,-0.2235083125637906,-0.22122570223737562,-0.21704523777409132,-0.21929850432896825,-0.2203420634212359,0.002137581837381384,2602,-0.21826872041944342,-0.21787636849061703,-0.21861829837147811,-0.2193347289912543,-0.21878772505758792,-0.21857716826607615,0.0004911587319249201,0.0003264793224814535
1.0567747592926025,0.002148296003100011,0.0744016170501709,0.001017588617043703,1,3,1000,42,,,"{'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}",-0.2207217855458054,-0.22357958784212872,-0.22147212613386033,-0.2172662811264317,-0.21956347410134555,-0.22052092905590337,0.0020884881538185945,2618,-0.21849125764881386,-0.2179788692868333,-0.21876794411737582,-0.21951706532316015,-0.21889955752126578,-0.2187309387794898,0.0005041531878229008,0.00038451641068674823
0.5904209613800049,0.0021852686223908656,0.037500190734863284,0.0007983088506698067,1,4,500,42,,,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}",-0.21974623609057414,-0.22287750245461252,-0.2198688800327898,-0.21513037806238303,-0.21777662098859343,-0.21908039642257376,0.0025606261001889247,2435,-0.21693660712289203,-0.216672809745942,-0.21760973078919127,-0.21798615190678347,-0.21756107666168426,-0.21735327524529863,0.00047877538853659756,0.0003093134297968069
1.221534538269043,0.03711087283406601,0.07539839744567871,0.0028623219616647445,1,4,1000,42,,,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}",-0.2198963584618076,-0.22295310657946338,-0.22012820645897746,-0.2154264404196343,-0.2180290191712852,-0.21928707455899962,0.002490151219726005,2471,-0.21721201772125062,-0.2167997805564714,-0.21776571395817368,-0.2182029863626624,-0.21770091679278167,-0.21753628307826797,0.00048411156656405003,0.00029860855353582065
0.6737987041473389,0.014294734154869199,0.03730030059814453,0.0004887531419829501,1,5,500,42,,,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}",-0.21943751556765484,-0.22283604022509557,-0.21924235777776255,-0.21422050470072296,-0.21704964366036317,-0.21855778570490497,0.0028506393257555283,2355,-0.21635305973708166,-0.21622569099594657,-0.2173260704433526,-0.21726071966314053,-0.21693722956318973,-0.2168205540805422,0.0004550425808661056,0.00013468291290735494
1.3284489631652832,0.03564832502006551,0.07420148849487304,0.0010170180681184388,1,5,1000,42,,,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}",-0.21952412080757436,-0.22283171887137085,-0.21932469808341537,-0.21436229377800337,-0.2171809256490308,-0.21864531402975373,0.002801674432630223,2369,-0.21646009282451684,-0.2162637178054142,-0.21737202702399988,-0.21738248606016913,-0.2170246262886861,-0.21690059000055725,0.00046249446162318416,0.0001616708695616302
