Best parameters set found on development set:
0.73182 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72869 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42} probability 0.003
0.72867 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42} probability 0.023
0.72867 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42} probability 0.013
0.72865 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 39, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72865 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 26, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72864 (+/-0.015) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72864 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42} probability 0.009
0.72863 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72863 (+/-0.019) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42} probability 0.652
0.72862 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72862 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42} probability 0.006
0.72862 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 43, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72861 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42} probability 0.004
0.72861 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42} probability 0.009
0.72856 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72856 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72856 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72854 (+/-0.010) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72853 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.060
0.72852 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72851 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42} probability 0.004
0.72850 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72849 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72848 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72848 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72848 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42} probability 0.002
0.72848 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72847 (+/-0.010) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72847 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72846 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72844 (+/-0.007) for {'max_features': 1, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72843 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72843 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42} probability 0.023
0.72841 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72841 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42} probability 0.003
0.72841 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42} probability 0.002
0.72840 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42} probability 0.003
0.72837 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 34, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72837 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72837 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 36, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72837 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72835 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72835 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42} probability 0.002
0.72834 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42} probability 0.005
0.72834 (+/-0.010) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72832 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72830 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72829 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42} probability 0.006
0.72828 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72826 (+/-0.009) for {'max_depth': 7, 'max_features': 1, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72825 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72824 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72823 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72823 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72823 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72823 (+/-0.016) for {'max_features': 1, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72823 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72822 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72821 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72820 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.005
0.72820 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.004
0.72820 (+/-0.011) for {'max_depth': 6, 'max_features': 1, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72820 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72820 (+/-0.016) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42} probability 0.006
0.72820 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72819 (+/-0.026) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42} probability 0.386
0.72818 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42} probability 0.000
