Best parameters set found on development set:
0.66248 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.014) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.019) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66204 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66204 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.009) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.017) for {'max_features': 1, 'min_samples_leaf': 28, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 44, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.010) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.015) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.011) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.017) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 46, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.021) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.015) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.021) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.014) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.016) for {'max_features': 1, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.66138 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
0.66138 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.013) for {'max_features': 2, 'min_samples_split': 92, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 39, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.010) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
