mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
0.0029918670654296873,3.5040231839893024e-07,0.03929533958435059,0.007817577929450701,auto,1,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6613386613386614,0.6659877800407332,0.6460905349794238,0.6521739130434783,0.6306878306878306,0.6512631031610389,0.012400592815577182,4048,0.8209606986899562,0.8174807197943444,0.8135505559865528,0.8194194708451066,0.8130792996910402,0.8168981490014001,0.003130199724893657,0.0
0.003191566467285156,0.0003987074575519373,0.01954803466796875,0.0004882078236640091,auto,1,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6532663316582915,0.6639593908629442,0.639917695473251,0.6528066528066528,0.6305732484076432,0.6481101123611444,0.011611750337486678,4078,1.0,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997904113177889,0.00010479434110557406,0.0
0.003989648818969726,5.091227651611e-07,0.05884256362915039,0.0018923285513030913,auto,1,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6559679037111334,0.7033639143730888,0.6454918032786885,0.6408163265306124,0.6457023060796646,0.6582709155239608,0.023084356027750618,3961,0.8218200356869743,0.813394683026585,0.8201438848920863,0.8185761673896402,0.8143958868894602,0.8176661315769491,0.003260739764556343,0.0
0.0035902023315429687,0.0004883052449365598,0.04368329048156738,0.0013234914473223035,auto,1,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6511627906976745,0.7033639143730888,0.6413934426229507,0.6427104722792608,0.6457023060796646,0.6568678962512524,0.02348990894922711,3991,1.0,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997904113177889,0.00010479434110557406,0.0
0.0029920101165771484,1.9073486328124998e-07,0.038297605514526364,0.0010165786355775244,auto,1,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6659979939819458,0.6939182452642073,0.6687116564417177,0.6559031281533805,0.658254468980021,0.6685589577539307,0.013534461426643931,3901,0.7756442647801919,0.7735420348396869,0.778990104034509,0.7780599288979176,0.7725999490705373,0.7757672563245686,0.002475547119659066,0.0
0.0031909942626953125,0.0003987551697700966,0.023138713836669923,0.0009772430061496225,auto,1,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.659251769464105,0.694,0.6584615384615384,0.6619718309859155,0.6540483701366981,0.6655479511252163,0.01445196227969474,3931,1.0,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997904113177889,0.00010479434110557406,0.0
0.003590297698974609,0.0004885778187723955,0.06741981506347657,0.0013527329242125081,auto,1,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6732869910625621,0.710891089108911,0.6767371601208458,0.6653061224489796,0.6589958158995816,0.6770468669827169,0.018016521805294432,3817,0.7883211678832117,0.7753036437246963,0.7785132382892057,0.7846817144306365,0.7780599288979176,0.7809759386451335,0.004783891768961794,1.196165180795887e-104
0.003989028930664063,3.162979879718208e-07,0.05305838584899902,0.001465330611100624,auto,1,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6699900299102691,0.7103174603174603,0.6720321931589537,0.6687116564417177,0.6548117154811716,0.6751762553150786,0.018588847752162487,3877,1.0,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997904113177889,0.00010479434110557406,0.0
0.003191852569580078,0.0003990412435060334,0.04089069366455078,0.0010924493001008887,auto,1,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6839481555333998,0.7058823529411764,0.6849593495934959,0.6740220661985957,0.6597724922440538,0.6817226877831262,0.01509739252246136,3747,0.7605985037406483,0.7548028311425683,0.7584982242516488,0.762582613116421,0.7565656565656567,0.7586095657633886,0.002772081159020596,2.5596150363493877e-169
0.0031912803649902345,0.00039908889872717533,0.026130485534667968,0.0014655512321927544,auto,1,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6800401203610832,0.7032967032967032,0.6775178026449643,0.674698795180723,0.6576763485477178,0.6786513234592547,0.014599004011385816,3777,1.0,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997380141472361,0.9997904113177889,0.00010479434110557406,0.0
0.003989267349243164,4.1019083342755444e-07,0.07599687576293945,0.0015954674178170923,auto,1,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6773547094188377,0.7058823529411765,0.6872509960159363,0.665989847715736,0.6509240246406571,0.6774867320491765,0.018647135598148037,3797,0.7678839419709855,0.7621689785624212,0.7705496722138174,0.7700887198986057,0.7593152064451157,0.7660013038181892,0.004479499227355196,6.590173352757588e-87
