mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,probability
1.6775155544281006,0.059376046216007436,0.04649028778076172,0.0017626905572275956,0.1,0.001,rbf,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",-0.22163910947625068,-0.22172891159924274,-0.21747429587997072,-0.21531468841987164,-0.2168020620604904,-0.21859297484308737,0.0026201640188599487,29,-0.21842409572851534,-0.21766171884323707,-0.21789358560707972,-0.21950944443984402,-0.2183587815673334,-0.2183695252372019,0.0006371840513344661,0.7258261909846369
1.8735070705413819,0.020719633706041133,0.06303191184997559,0.0034778523754945717,0.1,0.001,sigmoid,True,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True}",-0.221553476900206,-0.22171399157809665,-0.21795919228487579,-0.21508053608023828,-0.21715593851887285,-0.21869368290400207,0.0025794041842875943,31,-0.21828476659576185,-0.21766853770403757,-0.21829540063650593,-0.21911429598982304,-0.21889076333113205,-0.21845075285145205,0.0005094006288411557,0.6334376759308558
1.7036462306976319,0.0378749812964757,0.051064062118530276,0.003857742047466504,0.1,0.0001,rbf,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True}",-0.22145791675570264,-0.22250196160212132,-0.21839910638661159,-0.21500407864777793,-0.21666510828282176,-0.2188067850693343,0.0028248652200737866,36,-0.21821232327552437,-0.21809732715096805,-0.21857091237550702,-0.21901311378170252,-0.21824677647815308,-0.218428090612371,0.00033210991885106915,0.2541744846015661
1.8145501136779785,0.06622064174044037,0.06542477607727051,0.006450724783932529,0.1,0.0001,sigmoid,True,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True}",-0.22114439466215752,-0.22256080793554814,-0.2185323238486115,-0.2150124450200099,-0.21676551559971097,-0.2188041487647232,0.0027639737967425733,35,-0.21807174551048747,-0.21807200772809487,-0.2186389958399761,-0.21903725063859958,-0.21848060440190406,-0.21846012082381244,0.0003652291966869463,0.3462178201344126
1.7387609004974365,0.0426138304574453,0.054853057861328124,0.00658540722945856,0.1,1e-05,rbf,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",-0.2190283358726779,-0.2219247841417081,-0.21701526599083237,-0.2140360795356666,-0.21567229192710646,-0.21753615726645434,0.0027379193272799663,17,-0.21642623714016507,-0.21680685086717744,-0.21712637670437593,-0.21807914084276525,-0.21739242779919732,-0.2171662066707362,0.0005590890317947363,0.50816191864985
1.7932183742523193,0.0531041931692213,0.06303172111511231,0.005254516448154447,0.1,1e-05,sigmoid,True,"{'C': 0.1, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True}",-0.21919624396651013,-0.22209578775689642,-0.21664044660922893,-0.21426891162954123,-0.21606037217956173,-0.21765310533874074,0.0027251994742441632,19,-0.2173214773761428,-0.2169666690320558,-0.21702989161348968,-0.2182480927867088,-0.21775009078565002,-0.21746324431880942,0.0004801556959483832,0.6925362482384273
1.6110931396484376,0.07598262777433892,0.04946799278259277,0.004442646046949766,0.1,1e-06,rbf,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True}",-0.22477095667305189,-0.2268411318470374,-0.22448439629813577,-0.2249069589887312,-0.2220190099304432,-0.22460515147899074,0.0015370687233789884,50,-0.2236163466626384,-0.22195851198711514,-0.22515099084661422,-0.2281163842416144,-0.22345101232926182,-0.22445864921344877,0.0020896819997913026,0.9441081411564601
1.7680842876434326,0.051172943280848156,0.07220664024353027,0.013813648136618808,0.1,1e-06,sigmoid,True,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True}",-0.2225945230654109,-0.22082824426882044,-0.23017355889773997,-0.21999751047157767,-0.22019352643483023,-0.22275804909745509,0.003819166397051389,48,-0.22104349953981794,-0.21653719501927,-0.23096730618071803,-0.22294272505321824,-0.22160737833428418,-0.22261962082546166,0.004696657193966507,0.9764867250978654
1.525531816482544,0.056090200861742226,0.050066041946411136,0.0048205121243418405,0.1,1e-07,rbf,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'rbf', 'probability': True}",-0.22076123000393838,-0.22083184278452248,-0.22709010928530107,-0.2174842383803277,-0.21836635999414955,-0.2209073310884497,0.003359171407250186,43,-0.21921977604946077,-0.2169293634736741,-0.22789085763049935,-0.22072582083406936,-0.2199884226696731,-0.22095084813147534,0.003696202951860394,0.9906063668360975
1.6824094772338867,0.02400779207885243,0.06323094367980957,0.0021483668336791527,0.1,1e-07,sigmoid,True,"{'C': 0.1, 'gamma': 1e-07, 'kernel': 'sigmoid', 'probability': True}",-0.2223009176257014,-0.22048533400734951,-0.22863457761081507,-0.21962692608178846,-0.22030266302678195,-0.22227056344350024,0.003302890990518614,46,-0.22095580348152427,-0.21642980416996507,-0.22969649925044214,-0.22280812665815025,-0.22177412083706746,-0.22233287087942982,0.004277934166071047,0.9883793481629917
