prediction,outcome
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,1
0.5718632958801498,0
0.5718632958801498,0
0.5718632958801498,0
