Best parameters set found on development set:
0.72731 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 137, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 21, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 22, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 23, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 24, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 25, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 26, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 27, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 28, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 29, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72510 (+/-0.010) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 135, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
0.72506 (+/-0.008) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 127, 'p': 1, 'weights': 'uniform'}
