Best parameters set found on development set:
-0.21557 (+/-0.008) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21560 (+/-0.009) for {'max_depth': 5, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21562 (+/-0.008) for {'max_depth': 5, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21568 (+/-0.009) for {'max_depth': 5, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21569 (+/-0.009) for {'max_depth': 5, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21570 (+/-0.008) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21571 (+/-0.009) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21571 (+/-0.009) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21610 (+/-0.008) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.21616 (+/-0.007) for {'max_depth': 6, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.21617 (+/-0.008) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.21625 (+/-0.007) for {'max_depth': 6, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.21684 (+/-0.009) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21685 (+/-0.009) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21686 (+/-0.009) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21690 (+/-0.009) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21692 (+/-0.009) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21694 (+/-0.009) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21695 (+/-0.010) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21698 (+/-0.010) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21710 (+/-0.008) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21719 (+/-0.008) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21761 (+/-0.009) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21762 (+/-0.009) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21762 (+/-0.009) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21763 (+/-0.010) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21765 (+/-0.010) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21768 (+/-0.010) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21774 (+/-0.009) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21774 (+/-0.009) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21784 (+/-0.008) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.21796 (+/-0.008) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.21831 (+/-0.008) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21831 (+/-0.009) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21831 (+/-0.009) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21833 (+/-0.010) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21836 (+/-0.009) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21843 (+/-0.008) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21850 (+/-0.008) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21851 (+/-0.008) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21853 (+/-0.007) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.21858 (+/-0.007) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.21888 (+/-0.008) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21897 (+/-0.008) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21937 (+/-0.008) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.21952 (+/-0.008) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.21974 (+/-0.007) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21997 (+/-0.007) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.22047 (+/-0.007) for {'max_depth': 4, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.22055 (+/-0.007) for {'max_depth': 4, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.22156 (+/-0.007) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.22169 (+/-0.006) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.22271 (+/-0.007) for {'max_depth': 3, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.22274 (+/-0.007) for {'max_depth': 3, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.22323 (+/-0.007) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.22326 (+/-0.007) for {'max_depth': 1, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.22331 (+/-0.007) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.22338 (+/-0.006) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.22371 (+/-0.006) for {'max_depth': 1, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.22386 (+/-0.006) for {'max_depth': 1, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.22432 (+/-0.005) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.22460 (+/-0.005) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.22534 (+/-0.006) for {'max_depth': 2, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.22535 (+/-0.006) for {'max_depth': 2, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.22560 (+/-0.004) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.22585 (+/-0.004) for {'max_depth': 1, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.22739 (+/-0.004) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.22753 (+/-0.004) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.23084 (+/-0.004) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.23105 (+/-0.004) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
