Best parameters set found on development set:
-0.17400 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 67, 'p': 1, 'weights': 'distance'}
-0.17400 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 58, 'p': 2, 'weights': 'distance'}
-0.17400 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 69, 'p': 1, 'weights': 'distance'}
-0.17400 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 69, 'p': 1, 'weights': 'distance'}
-0.17401 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 69, 'p': 1, 'weights': 'distance'}
-0.17402 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
-0.17402 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
-0.17402 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
-0.17403 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 68, 'p': 1, 'weights': 'distance'}
-0.17403 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 68, 'p': 1, 'weights': 'distance'}
-0.17403 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 68, 'p': 1, 'weights': 'distance'}
-0.17409 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 66, 'p': 1, 'weights': 'distance'}
-0.17409 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 66, 'p': 1, 'weights': 'distance'}
-0.17409 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 66, 'p': 1, 'weights': 'distance'}
-0.17415 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 56, 'p': 2, 'weights': 'distance'}
-0.17416 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 56, 'p': 2, 'weights': 'distance'}
-0.17416 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 56, 'p': 2, 'weights': 'distance'}
-0.17419 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 55, 'p': 2, 'weights': 'distance'}
-0.17419 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 55, 'p': 2, 'weights': 'distance'}
-0.17420 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 55, 'p': 2, 'weights': 'distance'}
-0.17421 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
-0.17421 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
-0.17421 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
-0.17422 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
