Best parameters set found on development set:
0.65590 (+/-0.018) for {'max_depth': 6, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.65571 (+/-0.019) for {'max_depth': 5, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.65513 (+/-0.022) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.65475 (+/-0.017) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.65456 (+/-0.016) for {'max_depth': 5, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.65436 (+/-0.019) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.65417 (+/-0.015) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.65379 (+/-0.012) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.65321 (+/-0.019) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.65321 (+/-0.024) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.65302 (+/-0.018) for {'max_depth': 5, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.65263 (+/-0.009) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.65244 (+/-0.017) for {'max_depth': 6, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.65225 (+/-0.021) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.65225 (+/-0.017) for {'max_depth': 6, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.65186 (+/-0.025) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.65186 (+/-0.026) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.65167 (+/-0.021) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.65167 (+/-0.018) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.65148 (+/-0.022) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.65129 (+/-0.024) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.65071 (+/-0.025) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.65071 (+/-0.025) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.65052 (+/-0.018) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.65033 (+/-0.023) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.65033 (+/-0.025) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.65013 (+/-0.023) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.64975 (+/-0.030) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.64975 (+/-0.013) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.64975 (+/-0.021) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.64956 (+/-0.030) for {'max_depth': 1, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.64956 (+/-0.022) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
