Best parameters set found on development set:
0.66182 (+/-0.014) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.018) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.013) for {'max_depth': 5, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 40, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 40, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 54, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.66182 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.016) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 29, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
0.66160 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.66160 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
