Best parameters set found on development set:
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21344 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21344 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21344 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21344 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.006) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21345 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21345 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21346 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21347 (+/-0.008) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21347 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21347 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21347 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21347 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21347 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21347 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
-0.21348 (+/-0.006) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.008) for {'max_depth': 5, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21348 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21349 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21349 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
